[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:21:01
Order : 28
Analyse step ID : 13085

[SAMPLE]
Sample Name : H7-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	15677.516927766	343358.661034383	456912.939531659	266957.429438581	214656.223926955	114548.041371342	227715.425154787	106113.295409371	147830.383522827	83156.31563944	325023.793597863	198839.84041043	326193.820417549	96768.0797227461	22606.6613839922	117419.608730728	138253.731191272	119794.199277388
20	15641.3380425481	343358.661034383	456667.945998398	266957.429438581	214656.223926955	114487.111562102	226159.991922855	105228.347532568	145575.889656466	82914.6992259598	321711.449204509	192707.299592753	309439.413661797	94658.2515694619	21999.7711454958	113944.699456522	136326.402224851	118251.784694418
21	15611.1889715331	343236.729691686	456667.945998398	266835.753308482	214656.223926955	114365.251943622	224915.64533731	104906.548304639	143723.983980526	82954.9686282065	319020.169384909	187614.172472988	294753.452184532	92791.865126172	21483.9144427738	110954.661243833	134784.539051714	117030.706482899
22	15581.0399005182	343236.729691686	456912.939531659	266835.753308482	214412.711477804	114304.322134382	224293.472044538	104986.998111622	142274.666495008	83196.5850416867	316949.954139062	183456.517681343	281929.091457907	91209.4940112089	21059.0912758263	108530.305936248	133499.6530741	116066.697368543
23	15568.9802721122	343114.798348989	456422.952465137	266835.753308482	214534.46770238	114182.462515902	223878.689849356	105469.696953514	141147.419561828	83599.2790641537	315086.760417801	180234.335217818	271173.17600977	89911.1382245725	20694.9571327284	106510.009846593	132535.98859089	115359.757351348
24	15532.8013868943	342870.935663596	456422.952465137	266835.753308482	214290.955253228	114060.602897421	223774.99430056	106274.195023335	140261.7255429	84122.7812933608	313637.609745709	177635.80097304	261865.172256574	88815.650529598	20411.7416880968	104812.961131283	131765.057004321	114845.619157024
25	15502.6523158794	342870.935663596	456422.952465137	266714.077178382	214412.711477804	113999.673088181	223982.385398151	107239.59270712	139617.584438225	84767.0917293081	312602.502122785	175556.973577217	254005.08019832	87923.0309262854	20189.2152673147	103519.971633904	131186.858314395	114460.015511282
26	15484.5628732704	342749.004320899	456177.958931876	266714.077178382	214169.199028653	113877.813469701	224189.776495742	108526.789618833	139214.996247804	85491.9409697487	311567.394499862	173997.85303035	247405.406590831	87152.1321779701	20017.2630330741	102469.417667284	130865.636819991	114267.21368841
27	15454.4138022555	342749.004320899	456177.958931876	266714.077178382	214047.442804077	113755.953851221	224604.558690924	109813.986530547	138812.408057382	86297.3290146828	310946.329926108	172854.497962648	241824.833509835	86584.1015213166	19885.7701480665	101661.299231422	130608.659624469	114202.94641412
28	15424.2647312405	342627.072978202	455932.965398615	266470.724918183	214047.442804077	113695.024041981	225226.731983696	111342.532863206	138651.372781213	87102.7170596168	310532.286876939	172022.967004319	237277.699888283	86137.7917196603	19804.8514496003	101095.616326318	130480.171026707	114202.94641412
29	15400.1454744286	342505.141635505	455932.965398615	266470.724918183	213925.686579501	113512.234614261	225952.600825265	112871.079195866	138570.855143129	87988.6439090443	310118.24382777	171503.260155363	233350.629942397	85772.6291546689	19703.7030765176	100691.557108388	130480.171026707	114331.480962701
30	15388.0858460226	342383.210292808	455687.971865354	266470.724918183	213925.686579501	113451.304805021	226574.774118037	114480.075335508	138570.855143129	88834.301356225	309704.200778601	171087.494676199	230353.65551001	85569.7610630069	19693.5882392093	100449.121577629	130544.415325588	114460.015511282
31	15357.9367750077	342383.210292808	455687.971865354	266349.048788083	213803.930354926	113329.445186541	227300.642959605	116169.521282131	138651.372781213	89760.4976078992	309704.200778601	170879.611936616	227770.0568614	85407.4665896774	19663.2437272845	100287.497890457	130608.659624469	114652.817334153
32	15327.7877039928	342139.347607415	455687.971865354	266349.048788083	213803.930354926	113268.5153773	228026.511801173	117858.967228755	138731.890419298	90646.4244573266	309290.157729431	170879.611936616	225703.177942513	85285.7457346802	19663.2437272845	100206.68604687	130801.392521111	114909.886431315
33	15315.7280755868	342139.347607415	455442.978332093	266227.372657984	213682.17413035	113207.58556806	228959.771740332	119548.413175379	138973.443333551	91572.6207090008	309497.179254016	171191.43604599	224153.018753347	85245.1721163478	19683.4734019011	100206.68604687	130994.125417753	115166.955528477
34	15291.6088187748	342017.416264718	455442.978332093	266227.372657984	213682.17413035	113146.65575882	229789.336130696	121237.859122003	139134.478609719	92498.8169606749	309497.179254016	171399.318785572	222912.891402015	85245.1721163478	19713.8179138259	100206.68604687	131251.102613276	115488.291899929
35	15273.5193761659	341895.484922021	455442.978332093	266105.696527884	213560.417905774	112902.93652186	230618.900521059	123007.754875609	139376.031523972	93425.013212349	309497.179254016	171815.084264736	221982.795888515	85285.7457346802	19784.6217749838	100287.497890457	131508.079808798	115809.628271381
36	15249.4001193539	341895.484922021	455197.984798832	265984.020397784	213560.417905774	112842.00671262	231552.160460218	124777.650629215	139698.10207631	94351.2094640232	309704.200778601	172230.849743901	221466.076158794	85326.3193530126	19814.9662869086	100449.121577629	131829.301303202	116130.964642833
37	15243.3703051509	341773.553579324	455197.984798832	265984.020397784	213560.417905774	112781.07690338	232589.115948173	126467.096575838	140020.172628647	95277.4057156973	309704.200778601	172854.497962648	221156.04432096	85448.0402080097	19855.4256361417	100529.933421215	132086.278498725	116516.568288576
38	15225.280862542	341651.622236627	455197.984798832	265984.020397784	213438.661681198	112659.2172849	233522.375887332	128156.542522462	140422.760819069	96163.3325651248	309911.222303185	173374.204811603	220949.356429072	85529.1874446745	19905.9998226831	100772.368951974	132407.499993128	116837.904660028
39	15207.191419933	341529.69089393	454952.991265571	265862.344267685	213316.905456623	112537.35766642	234455.635826491	129845.988469086	140744.831371406	97089.528816799	310325.265352354	174101.794400141	221052.700375016	85650.9082996717	19966.6888465327	100933.992639146	132728.721487532	117223.508305771
40	15189.1019773241	341529.69089393	454952.991265571	265862.344267685	213316.905456623	112537.35766642	235388.89576565	131535.43441571	141147.419561828	97935.1862639797	310325.265352354	174725.442618888	221362.732212849	85813.2027730012	20037.4927076906	101095.616326318	133049.942981935	117609.111951513
