[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:41:07
Order : 37
Analyse step ID : 13094

[SAMPLE]
Sample Name : Q10-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12294.7911598903	353176.728820454	484842.202323406	272797.883683364	217821.885765924	105896.008459251	395046.422799591	229040.600477997	210875.694142856	149564.60255454	369740.442908142	331988.735112867	431684.529620434	113159.821529031	25833.2944853316	140774.231527136	161510.167386087	144151.496233467
1	12300.8209740933	353176.728820454	484842.202323406	272797.883683364	217821.885765924	105956.938268491	395253.796249879	229121.050284979	210875.694142856	149564.60255454	369740.442908142	332092.676482658	431684.529620434	113159.821529031	25843.4093226399	140855.043370722	161510.167386087	144151.496233467
2	12300.8209740933	353176.728820454	484842.202323406	272676.207553264	217821.885765924	105896.008459251	395461.169700167	229121.050284979	210956.21178094	149564.60255454	369947.464432727	332300.55922224	432098.218676132	113240.968765696	25843.4093226399	140935.855214308	161510.167386087	144151.496233467
3	12300.8209740933	353176.728820454	486312.163522972	272676.207553264	218187.154439651	106322.517123932	395668.543150456	229121.050284979	211036.729419025	149564.60255454	370154.485957311	332508.441961822	432305.06320398	113240.968765696	25863.6389972564	140935.855214308	161574.411684967	144151.496233467
4	12318.9104167023	357323.140691965	505911.646183848	274623.025634858	224274.965668436	111014.112435418	395875.916600745	229201.500091961	211036.729419025	149645.143535991	370361.507481896	332612.383331613	432511.907731829	113281.542384028	25883.868671873	140935.855214308	161574.411684967	144215.763507757
5	12367.1489303262	368298.936822435	522081.21937907	282166.945701035	231458.582918402	116254.076030064	395461.169700167	229201.500091961	211117.247057109	149564.60255454	370568.529006481	332820.266071195	432718.752259678	113322.11600236	25893.9835091812	141097.47890148	161638.655983848	144215.763507757
6	12397.2980013411	377811.293468842	530166.005976681	289102.485116714	235598.294553975	119909.864584469	385714.617536608	228477.451829123	211117.247057109	147712.159981167	370568.529006481	333028.148810778	432925.596787527	113362.689620693	25914.2131837978	141097.47890148	161574.411684967	144215.763507757
