[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:47:44
Order : 31
Analyse step ID : 13088

[SAMPLE]
Sample Name : H8-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15985.0374521183	321532.950691644	432658.579738826	251626.237046028	203332.895041416	102544.868951047	443986.557067676	232178.142950299	218605.387398952	150611.635313403	421909.867103468	360853.727572738	492083.131752282	120057.336645537	32873.2212518902	148612.980354996	161124.701592802	143830.159862015
1	15972.9778237124	321532.950691644	432658.579738826	251504.560915929	203332.895041416	102544.868951047	444401.303968253	232178.142950299	218685.905037036	150611.635313403	421909.867103468	360853.727572738	492289.976280131	120097.910263869	32852.9915772737	148693.792198582	161124.701592802	143830.159862015
2	15991.0672663213	321411.019348947	432658.579738826	251504.560915929	203332.895041416	102483.939141807	444401.303968253	232178.142950299	218685.905037036	150611.635313403	422323.910152637	361061.592623183	492496.82080798	120138.483882202	32903.5657638151	148693.792198582	161124.701592802	143830.159862015
3	15991.0672663213	321532.950691644	432903.573272087	251626.237046028	203332.895041416	102605.798760287	444608.677418542	232178.142950299	218766.42267512	150692.176294854	422323.910152637	361061.592623183	492703.665335828	120138.483882202	32893.4509265068	148774.604042168	161188.945891683	143894.427136305
4	15991.0672663213	322874.195461309	439763.392203393	252112.941566427	205889.775757505	104433.69303749	444816.05086883	232258.592757281	218766.42267512	150692.176294854	422323.910152637	361269.457673628	492910.509863677	120179.057500534	32893.4509265068	148693.792198582	161124.701592802	143894.427136305
5	16039.3057799452	327507.58648379	446868.20466796	255276.520949017	209298.950045625	107053.674834813	444816.05086883	232258.592757281	218846.940313205	150692.176294854	422530.931677222	361477.322724074	493117.354391526	120179.057500534	32913.6806011233	148774.604042168	161188.945891683	143894.427136305
6	16081.5144793661	331653.252135484	450298.114133613	258440.100331608	211490.562087987	108942.498921255	439839.088061906	232017.243336334	218927.457951289	149967.307461795	422737.953201806	361685.187774519	493117.354391526	120219.631118867	32944.0251130482	148855.415885754	161188.945891683	143894.427136305
