[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:14:25
Order : 34
Analyse step ID : 13091

[SAMPLE]
Sample Name : Q9-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16184.0213208169	320557.499950069	431923.599139043	250774.504135331	202967.626367688	102362.079523327	447926.652623158	232660.841792191	220376.775436807	150933.799239207	425636.254545991	364387.433430305	497667.9340042	121031.103485514	33580.198323463	149825.158008789	161445.923087206	144087.228959177
1	16184.0213208169	320557.499950069	431923.599139043	250896.180265431	202845.870143113	102423.009332567	447926.652623158	232660.841792191	220457.293074891	150933.799239207	425843.276070576	364387.433430305	497874.778532048	121031.103485514	33580.198323463	149825.158008789	161445.923087206	144087.228959177
2	16196.0809492229	320679.431292766	431923.599139043	250774.504135331	202967.626367688	102362.079523327	448341.399523735	232660.841792191	220457.293074891	150853.258257756	425843.276070576	364387.433430305	498081.623059897	121071.677103847	33600.4030155951	149825.158008789	161381.678788325	144087.228959177
3	16196.0809492229	320557.499950069	432168.592672304	250896.180265431	202967.626367688	102544.868951047	448341.399523735	232660.841792191	220457.293074891	150853.258257756	426050.29759516	364595.29848075	498288.467587746	121071.677103847	33620.6077077271	149905.969852375	161381.678788325	144022.961684886
4	16196.0809492229	324215.440230975	455442.978332093	252477.969956726	209785.974943928	107723.902736454	448548.772974023	232660.841792191	220537.810712976	150853.258257756	426257.319119745	364595.29848075	498495.312115595	121112.250722179	33620.6077077271	149986.781695961	161445.923087206	144087.228959177
5	16244.3194628468	339334.926725387	483127.24759058	262090.384234596	221109.303829467	115644.777937663	448548.772974023	232660.841792191	220537.810712976	150853.258257756	426257.319119745	364803.163531196	498702.156643444	121152.824340511	33620.6077077271	149986.781695961	161445.923087206	144087.228959177
6	16256.3790912527	354088.619191708	496111.90485341	273162.912073662	227927.652405707	121128.46076927	438802.220810464	232339.042564263	220618.32835106	149564.60255454	426464.34064433	365011.028581641	498909.001171292	121193.397958844	33640.8123998592	149986.781695961	161445.923087206	144087.228959177
