[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:34:15
Order : 16
Analyse step ID : 13073

[SAMPLE]
Sample Name : H6-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	15339.8473323987	343358.661034383	455932.965398615	266714.077178382	213925.686579501	114608.971180582	208116.966432449	97381.859127746	144609.677999454	77035.3664979413	303907.598090231	188029.937952153	322884.307971968	95429.1503177773	21898.622772413	116207.431076935	134784.539051714	115295.490077057
20	15309.6982613838	343236.729691686	455687.971865354	266592.401048282	213925.686579501	114487.111562102	206250.446554131	96336.039905391	142033.113580755	76793.7500844611	300388.232172292	181481.631655312	304681.989521274	93035.3068361663	21261.3880219918	112409.274428384	132343.255694247	113238.937299763
21	15279.5491903689	343236.729691686	455687.971865354	266714.077178382	213803.930354926	114426.181752862	205006.099968586	95893.5779267023	139939.654990563	76753.4806822144	297489.930828108	176076.680426173	288341.27182122	91006.6259195469	20725.3016446533	109176.800684937	130223.193831184	111632.255442502
22	15249.4001193539	343114.798348989	455442.978332093	266714.077178382	213803.930354926	114365.251943622	204280.231127018	95933.8017429468	138329.302228876	77035.3664979413	295005.672533092	171711.142894945	274689.532983199	89302.5339495866	20260.0191284727	106510.009846593	128552.842060286	110282.642682403
23	15231.310676745	342992.867006293	455442.978332093	266592.401048282	213682.17413035	114304.322134382	203969.144480631	96376.2637216354	137041.020019527	77438.0605204083	293142.478811831	168281.077691838	262899.394895818	87841.8836896206	19905.9998226831	104247.27822618	127139.467484911	109318.633568046
24	15195.131791527	342870.935663596	455442.978332093	266592.401048282	213682.17413035	114121.532706662	203969.144480631	97180.7400465238	135994.290724431	78001.8321518621	291693.328139738	165578.602077269	252882.635725883	86624.675139649	19612.6695407431	102388.605823697	126047.314403939	108547.426276561
25	15171.0125347151	342870.935663596	455442.978332093	266349.048788083	213560.417905774	113999.673088181	203969.144480631	98226.5592688788	135269.631981672	78646.1425878094	290451.19899223	163395.833311655	244408.432158445	85650.9082996717	19369.9134453446	100933.992639146	125212.138518489	108097.555356528
26	15134.8336494972	342749.004320899	455197.984798832	266349.048788083	213438.661681198	113938.743278941	204383.926675813	99433.2737562115	134706.008515081	79411.2612304967	289416.091369307	161732.771394997	237484.387780172	84839.4359330239	19208.0760484122	99802.6268289395	124633.939828563	107776.218985075
27	15110.7143926852	342627.072978202	454952.991265571	266349.048788083	213438.661681198	113877.813469701	204798.708870995	100841.107324766	134222.902686575	80216.6492754307	288795.026795553	160485.474957503	231593.782861342	84190.2580397057	19056.3534887881	99207.6498282555	124184.229736398	107583.417162204
28	15092.6249500763	342627.072978202	454952.991265571	266349.048788083	213316.905456623	113755.953851221	205420.882163767	102369.612342054	133981.349772322	81102.5761248582	288173.962221799	159653.943999174	226633.273456012	83703.374619717	18965.3199530136	98559.7631354996	123991.496839756	107583.417162204
