[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:52:02
Order : 18
Analyse step ID : 13075

[SAMPLE]
Sample Name : H6-1-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15611.1889715331	320313.637264675	431188.61853926	250409.475745032	202115.332795659	101935.570858646	430714.656249212	229362.399705926	216431.411170675	149000.815684383	407211.338857959	353786.315857604	492496.82080798	118758.980858901	31669.5556122056	147077.555326858	159197.372626381	142159.210730463
1	15617.2187857361	320313.637264675	431188.61853926	250409.475745032	201993.576571083	101874.641049406	430922.029699501	229362.399705926	216431.411170675	149000.815684383	407418.360382544	353994.180908049	492703.665335828	118799.554477233	31659.4407748974	147077.555326858	159197.372626381	142159.210730463
2	15623.2485999391	320191.705921978	430943.625005999	250409.475745032	202115.332795659	101996.500667886	431129.403149789	229362.399705926	216511.928808759	149000.815684383	407418.360382544	354202.045958494	492910.509863677	118840.128095565	31699.9001241305	147158.367170444	159197.372626381	142094.943456173
3	15617.2187857361	320191.705921978	431678.605605782	250409.475745032	202115.332795659	102057.430477127	431336.776600078	229362.399705926	216592.446446843	149000.815684383	407625.381907129	354202.045958494	493117.354391526	118840.128095565	31730.2446360553	147239.179014031	159197.372626381	142159.210730463
4	15629.2784141421	322142.607405128	439763.392203393	251382.884785829	205159.238410051	104555.55265597	431544.150050366	229362.399705926	216592.446446843	149000.815684383	407832.403431713	354409.911008939	493324.198919375	118880.701713898	31720.129798747	147239.179014031	159261.616925262	142159.210730463
5	15689.576556172	327141.7924557	446378.217601438	254668.140298519	208690.168922746	107419.253690253	431336.776600078	229362.399705926	216592.446446843	148920.274702932	407832.403431713	354617.776059384	493737.887975072	118880.701713898	31740.3594733636	147319.990857617	159197.372626381	142159.210730463
6	15737.8150697959	331531.320792787	449808.127067092	257953.395811209	210881.780965109	109551.797013656	423663.958939403	228879.700864033	216672.964084928	147631.618999716	407832.403431713	354617.776059384	493737.887975072	118961.848950562	31750.4743106718	147319.990857617	159261.616925262	142159.210730463
