[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 16:31:55
Order : 9
Analyse step ID : 13066

[SAMPLE]
Sample Name : H3-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16961.8076352982	310193.335820835	413059.09707795	244082.316979852	198219.133609236	100229.536199924	447097.158822004	229442.849512908	218202.79920853	149242.438628736	425843.276070576	363555.973228525	520627.676595416	121477.413287171	34974.3220805743	150471.652757478	158619.173936455	141645.07253614
1	16961.8076352982	310071.404478138	413059.09707795	244203.993109951	198219.133609236	100290.466009164	447304.532272292	229442.849512908	218202.79920853	149161.897647285	426050.29759516	363763.83827897	520834.521123265	121517.986905503	34974.3220805743	150471.652757478	158683.418235336	141645.07253614
2	16961.8076352982	310193.335820835	413059.09707795	244203.993109951	198219.133609236	100290.466009164	447511.905722581	229442.849512908	218202.79920853	149242.438628736	426257.319119745	363763.83827897	521041.365651113	121558.560523835	34994.5267727064	150471.652757478	158683.418235336	141645.07253614
3	16949.7523349177	310071.404478138	413059.09707795	244082.316979852	198097.377384661	100168.606390684	447719.279172869	229442.849512908	218283.316846614	149242.438628736	426257.319119745	363971.703329415	521248.210178962	121558.560523835	34994.5267727064	150552.464601064	158683.418235336	141645.07253614
4	16961.8076352982	310924.923877016	417713.974209908	244569.02150025	199801.96452872	101569.992003206	447926.652623158	229442.849512908	218283.316846614	149242.438628736	426464.34064433	364179.56837986	521661.89923466	121599.134142168	35014.7314648384	150552.464601064	158683.418235336	141645.07253614
5	16997.9735364395	314339.001472528	423838.812541432	246759.191842043	202845.870143113	103702.535326609	447926.652623158	229442.849512908	218363.834484699	149242.438628736	426464.34064433	364179.56837986	521661.89923466	121639.7077605	34994.5267727064	150633.27644465	158683.418235336	141645.07253614
6	17046.1947379613	317996.941753434	426778.734940563	249436.066704235	204793.969736324	105408.569985331	443986.557067676	229281.949898944	218363.834484699	148678.651758579	426671.362168914	364387.433430305	521868.743762509	121680.281378832	35055.1408491025	150633.27644465	158747.662534216	141709.33981043
