[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 02:27:27
Order : 32
Analyse step ID : 13128

[SAMPLE]
Sample Name : T21-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13169.1142193234	350249.849852328	481902.279924275	270851.065601769	216482.567295591	107053.674834813	415991.141278729	230730.046424621	215787.270066	149967.307461795	390649.616891189	344640.253638018	434580.353010317	116568.005468952	27836.0322723698	144168.328957755	161060.457293922	143765.892587724
1	13169.1142193234	350005.943271651	481902.279924275	270851.065601769	216482.567295591	107053.674834813	416198.514729017	230649.596617639	215787.270066	149967.307461795	390856.638415774	344848.118688464	434787.197538166	116608.579087284	27836.0322723698	144168.328957755	161060.457293922	143765.892587724
2	13175.1440335264	350005.943271651	481902.279924275	270729.38947167	216604.323520167	106931.815216333	416405.888179306	230730.046424621	215867.787704084	149967.307461795	391063.659940359	345055.983738909	435200.886593864	116608.579087284	27846.1471096781	144249.140801342	161060.457293922	143765.892587724
3	13169.1142193234	349762.036690974	482147.273457536	270851.065601769	216604.323520167	107053.674834813	416613.261629594	230730.046424621	215867.787704084	149967.307461795	391270.681464943	345263.848789354	435200.886593864	116649.152705616	27856.2619469864	144249.140801342	161124.701592802	143765.892587724
4	13181.1738477294	352688.9156591	497091.878986454	271824.474642566	220987.547604892	110526.673961497	416820.635079883	230730.046424621	215948.305342169	149967.307461795	391270.681464943	345263.848789354	435614.575649561	116689.726323949	27866.3767842947	144249.140801342	161060.457293922	143701.625313434
5	13229.4123613533	361713.459144153	513996.432781459	277908.281147548	227805.896181131	115461.988509943	416820.635079883	230730.046424621	215948.305342169	149967.307461795	391477.702989528	345471.713839799	435614.575649561	116730.299942281	27896.7212962195	144329.952644928	161060.457293922	143701.625313434
6	13265.5912465712	370981.909209883	522081.21937907	284600.468303027	232067.36404128	119056.847255108	409977.311220362	230408.247196693	215948.305342169	148920.274702932	391477.702989528	345679.578890244	435821.42017741	116770.873560614	27906.8361335277	144410.764488514	161060.457293922	143701.625313434
