[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:27:45
Order : 59
Analyse step ID : 13155

[SAMPLE]
Sample Name : T29-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	12819.3849955502	399275.072568427	543150.663239511	305407.086550064	241199.080884458	127769.809976438	168712.657890181	84268.8950320643	129713.914953853	70068.7599092618	271612.240255029	154352.934139827	256694.059060354	88125.8990179474	16780.5150944264	104408.901913352	127010.978887149	108804.495373723
20	12777.1762961293	399031.16598775	542905.66970625	305285.410419964	240955.568435306	127708.880167198	167364.615755841	83826.4330533757	127862.009277914	70028.4905070151	267885.852812506	148428.276061732	241824.833509835	85894.350009666	16153.3951813135	100772.368951974	124762.428426325	107069.27896788
21	12753.0570393173	398787.259407073	542660.676172989	305163.734289864	240955.568435306	127526.090739478	166846.138011864	83906.8806858645	126332.174154311	70229.8375182486	264987.551468321	143750.914421132	228906.840266789	83987.3899480438	15647.6533158998	98073.8481159326	123092.076655426	105848.200756362
22	12710.8483398964	398787.259407073	542170.689106467	305042.058159765	240712.055986155	127343.301311758	166638.746914273	84389.5664807976	125204.927221131	70632.5315407156	262503.293173306	140009.025108651	217952.381996685	82405.0188330806	15232.9449862605	95684.765936395	121742.946378932	104948.458916296
23	12674.6694546785	398299.446245719	541925.695573206	305042.058159765	240590.299761579	127099.582074798	166742.442463068	85234.2666219305	124399.750840287	71196.3031721694	260433.07792746	137098.666754499	208548.082915747	81066.0894281118	14889.0405177792	93781.5987764244	120779.281895721	104305.786173391
24	12638.4905694606	398055.539665042	541680.702039945	304920.382029665	240468.543537003	126916.792647077	167157.22465825	86360.5334767743	123836.127373697	71880.8830103634	258983.927255367	134811.956619095	200590.59907803	80011.1753514697	14626.0547477641	92323.8537177235	120072.594608033	103920.182527649
25	12602.3116842427	397811.633084365	541435.708506684	304798.705899565	240346.787312428	126734.003219357	167572.006853432	87647.6955965958	123514.05682136	72646.0016530507	257741.798107859	133044.953332645	193873.242591646	79118.5557481572	14413.6431642903	91190.0520054006	119622.884515868	103663.113430487
26	12572.1626132277	397567.726503688	540945.721440162	304677.029769466	240225.031087852	126490.283982397	168297.875695	89176.2006138838	123272.503907107	73491.6591002315	256706.690484936	131693.715525361	188292.66951065	78469.377854839	14251.805767358	90380.1936394557	119365.907320346	103663.113430487
27	12542.0135422128	397567.726503688	540945.721440162	304555.353639366	240103.274863276	126246.564745437	169231.135634159	90744.9294474163	123191.986269022	74417.8553519056	256085.625911182	130758.24319724	183435.504051264	77941.9208165179	14140.5425569669	89813.2927832942	119237.418722584	103727.380704777
28	12505.8346569949	397323.819923011	540700.727906902	304433.677509266	239859.762414125	126063.775317716	170060.700024522	92474.5535459265	123191.986269022	75384.3210058265	255464.561337429	130134.594978494	179508.434105378	77536.184633194	14039.3941838842	89408.3636003217	119301.663021465	103920.182527649
