[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:11:58
Order : 37
Analyse step ID : 13133

[SAMPLE]
Sample Name : T23-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	12897.772580189	393909.127793531	534575.889575378	301513.450386875	238276.931494641	127221.441693278	163424.184901614	80688.9753863108	129633.397315769	67853.9427856932	270991.175681276	152689.872223169	262485.70584012	88409.9143462741	16881.6634675092	106186.762472248	129709.239440139	111246.651796759
20	12855.5638807681	393665.221212854	534330.896042117	301513.450386875	238155.175270065	127099.582074798	161972.447218478	79964.9466939112	127459.421087492	67692.8651767064	266643.723664998	145933.683186745	245235.183726	85853.7763913336	16173.62485593	101984.546605767	127203.711783791	109254.366293756
21	12813.3551813472	393665.221212854	534085.902508856	301391.774256776	238033.419045489	126916.792647077	161142.882828114	79804.0514289335	125688.033049637	67773.4039811998	263124.35774706	140632.673327398	230456.999455954	83662.8010013847	15576.8494547418	98681.2418903913	125147.894219609	107711.951710785
22	12783.2061103323	393421.314632177	533595.915442334	301270.098126676	237789.906596338	126673.073410117	160831.796181728	80166.0657751333	124480.268478372	68055.2897969267	260226.056402875	136371.077165961	217849.038050741	81836.9881764272	15091.3372639447	95887.2305278813	123606.031046472	106555.140773557
23	12740.9974109114	393177.4080515	533350.921909073	301148.421996577	237668.150371762	126490.283982397	160728.100632933	80849.8706512885	123514.05682136	68619.0614283805	257948.819632444	133044.953332645	207101.267672526	80335.7642981288	14706.9734462303	93660.1200215327	122385.389367739	105719.666207781
24	12704.8185256934	392933.501470823	533105.928375812	301026.745866477	237546.394147187	126307.494554677	161039.187279319	81855.466057399	122869.915716685	69263.3718643278	255878.604386598	130446.419087867	198110.344375365	79118.5557481572	14383.2986523655	91918.924534751	121550.213482289	105205.528013458
25	12674.6694546785	392689.594890145	532615.94130929	301026.745866477	237302.881698035	126063.775317716	161557.665023296	83182.851993465	122386.809888179	70028.4905070151	254429.453714505	128471.533061836	190669.58026737	78144.7889081798	14140.5425569669	90623.1511492391	120972.014792363	104884.191642005
26	12632.4607552576	392445.688309468	532615.94130929	300905.069736377	237181.12547346	125880.985889996	162283.533864864	84630.9093782641	122145.256973926	70874.1479541958	253312.390161673	126967.243294849	184365.599564763	77333.3165415321	13958.475485418	89651.3211101052	120650.79329796	104755.657093425
27	12602.3116842427	392201.781728791	532125.954242768	300661.717476178	237181.12547346	125637.266653036	163113.098255228	86239.862028041	122064.739335842	71840.6136081167	252587.753164888	125927.806182325	179198.402267545	76724.7122665463	13816.8677631022	88962.941499052	120522.304700198	104755.657093425
28	12566.1327990247	391957.875148114	532125.954242768	300540.041346078	236937.613024308	125515.407034556	164046.358194387	87969.4861265512	122064.739335842	72807.0792620375	251863.116168104	125252.172059184	174754.612591937	76278.40246489	13715.7193900194	88517.5193977823	120522.304700198	104948.458916296
29	12542.0135422128	391713.968567437	531635.967176247	300540.041346078	236815.856799732	125271.687797595	165083.313682341	89819.7816737946	122145.256973926	73813.8143182051	251345.518313258	124784.425358548	171137.574483883	75953.8135182309	13614.5710169367	88153.0831331071	120650.79329796	105205.528013458
30	12499.8048427919	391470.06198676	531635.967176247	300296.689085879	236694.100575157	125088.898369875	166223.964719091	91670.077221038	122386.809888179	74860.8187766193	251138.479171319	124628.509791669	168243.943997441	75750.9454265689	13574.1116677036	87991.1114599181	120843.526194602	105591.1316592
31	12475.6855859799	390982.248825406	531390.973642986	300175.01295578	236572.344350581	124845.179132915	167364.615755841	93641.0442170147	122628.362802432	75948.0926372803	250931.440029381	124680.481647295	165867.03324072	75629.2245715718	13563.9968303953	87991.1114599181	121164.747689005	105976.735304943
32	12433.476886559	390982.248825406	531145.980109725	300053.33682568	236450.588126005	124662.389705195	168505.266792591	95612.0112129914	123030.950992854	77075.635900188	250827.920458412	124940.340925427	164110.186159666	75588.6509532394	13543.7671557788	87991.1114599181	121550.213482289	106298.071676395
