[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 01:16:16
Order : 24
Analyse step ID : 13120

[SAMPLE]
Sample Name : T18-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13126.9055199025	346591.251142172	477247.402792317	268174.190739578	214412.711477804	106383.446933172	422419.718237672	232097.693143317	217317.105189602	150772.717276305	395204.090432051	349629.014848701	439751.466206537	117257.756980602	27765.2284112119	145461.318455134	162024.121777132	144537.09987921
1	13132.9353341055	346347.344561495	477247.402792317	268295.866869677	214412.711477804	106383.446933172	422419.718237672	232178.142950299	217397.622827687	150772.717276305	395618.13348122	349629.014848701	439958.310734386	117257.756980602	27785.4580858285	145461.318455134	162024.121777132	144601.3671535
2	13138.9651483085	346347.344561495	477247.402792317	268174.190739578	214412.711477804	106322.517123932	422834.465138249	232178.142950299	217478.140465771	150772.717276305	395411.111956636	349836.879899147	440165.155262235	117338.904217267	27785.4580858285	145542.130298721	162024.121777132	144537.09987921
3	13132.9353341055	346347.344561495	478472.370458622	268052.514609478	214777.980151531	106566.236360892	423041.838588538	232178.142950299	217558.658103855	150853.258257756	395825.155005805	350044.744949592	440371.999790084	117338.904217267	27795.5729231367	145542.130298721	161959.877478251	144601.3671535
4	13151.0247767145	349518.130110297	492681.995387757	269634.304300773	219161.204236256	109917.375869096	423249.212038826	232258.592757281	217558.658103855	150853.258257756	395825.155005805	350252.610000037	440578.844317932	117379.477835599	27825.9174350616	145622.942142307	161959.877478251	144601.3671535
5	13181.1738477294	357567.047272642	504686.678517543	274988.054025157	224640.234342163	113695.024041981	422834.465138249	232258.592757281	217639.17574194	150772.717276305	396032.17653039	350460.475050482	440785.688845781	117379.477835599	27846.1471096781	145703.753985893	162024.121777132	144601.3671535
6	13229.4123613533	364640.338112278	510811.516849066	280098.451489341	227684.139956555	116558.725076265	414746.900576998	231695.444108406	217639.17574194	149403.520591638	396239.198054974	350460.475050482	440785.688845781	117420.051453932	27856.2619469864	145622.942142307	162024.121777132	144601.3671535
