[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 22:00:27
Order : 2
Analyse step ID : 13098

[SAMPLE]
Sample Name : Q11-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15333.8175181957	322020.676062431	436333.48273774	252477.969956726	203819.919939718	103458.816089648	438387.473909887	233626.239475976	219491.081417879	151900.291016619	422530.931677222	354617.776059384	479879.304609203	121031.103485514	32954.1399503564	149097.851416513	162538.076168178	145115.505347824
1	15333.8175181957	322020.676062431	436333.48273774	252477.969956726	203819.919939718	103519.745898888	438594.847360175	233706.689282958	219491.081417879	151819.750035168	422737.953201806	354825.64110983	480086.149137052	121031.103485514	32984.4844622813	149178.663260099	162538.076168178	145115.505347824
2	15339.8473323987	322020.676062431	436333.48273774	252356.293826626	203698.163715143	103397.886280408	438802.220810464	233706.689282958	219571.599055964	151900.291016619	422944.974726391	354825.64110983	480292.993664901	121071.677103847	32984.4844622813	149178.663260099	162538.076168178	145115.505347824
3	15339.8473323987	321898.744719734	436578.476271001	252477.969956726	203941.676164294	103458.816089648	439009.594260752	233706.689282958	219652.116694048	151900.291016619	422944.974726391	355033.506160275	480499.83819275	121112.250722179	33024.9438115143	149259.475103685	162602.320467058	145115.505347824
4	15351.9069608047	324337.371573672	451033.094733396	253451.378997523	208203.144024443	107053.674834813	439216.967711041	233706.689282958	219652.116694048	151900.291016619	423151.996250976	355241.37121072	480706.682720598	121112.250722179	33024.9438115143	149259.475103685	162538.076168178	145115.505347824
5	15394.1156602256	334213.810332118	469897.596794489	259656.861632604	215752.029948137	112842.00671262	439009.594260752	233706.689282958	219732.634332132	151980.83199807	423359.01777556	355449.236261165	480913.527248447	121193.397958844	33024.9438115143	149340.286947271	162538.076168178	145179.772622114
6	15436.3243596465	344212.180433261	478962.357525144	267079.105568681	220500.522706589	116924.303931705	431336.776600078	233465.339862012	219732.634332132	150853.258257756	423566.039300145	355657.10131161	481327.216304145	121193.397958844	33055.2883234392	149340.286947271	162538.076168178	145115.505347824
