[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 02:00:44
Order : 29
Analyse step ID : 13125

[SAMPLE]
Sample Name : T20-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13404.2769732399	346591.251142172	476757.415725795	268417.542999777	214899.736376107	106505.306551652	423041.838588538	231856.34372237	216995.034637265	150611.635313403	398930.477874574	349005.419697366	441406.222429327	117541.772308929	28614.8747451069	145461.318455134	161381.678788325	144087.228959177
1	13410.3067874429	346347.344561495	476512.422192534	268660.895259976	215021.492600683	106505.306551652	423249.212038826	231856.34372237	217075.552275349	150611.635313403	398930.477874574	349213.284747811	441613.066957176	117582.345927261	28614.8747451069	145542.130298721	161381.678788325	144151.496233467
2	13404.2769732399	346591.251142172	476512.422192534	268417.542999777	214899.736376107	106505.306551652	423249.212038826	231936.793529352	217075.552275349	150611.635313403	399137.499399159	349421.149798256	441819.911485025	117622.919545594	28614.8747451069	145542.130298721	161381.678788325	144087.228959177
3	13404.2769732399	346347.344561495	476757.415725795	268417.542999777	214899.736376107	106444.376742412	423663.958939403	231936.793529352	217236.587551518	150611.635313403	399137.499399159	349629.014848701	442026.756012874	117622.919545594	28635.1044197235	145622.942142307	161381.678788325	144151.496233467
4	13416.3366016459	348054.690626235	488272.11178906	269147.599780375	218187.154439651	108942.498921255	423871.332389692	232017.243336334	217236.587551518	150692.176294854	399344.520923744	349629.014848701	442233.600540723	117622.919545594	28665.4489316483	145622.942142307	161445.923087206	144151.496233467
5	13440.4558584578	356103.607788579	503706.704384499	274136.321114459	224518.478117587	113085.72594958	423871.332389692	232017.243336334	217236.587551518	150692.176294854	399551.542448328	349836.879899147	442440.445068571	117704.066782258	28665.4489316483	145622.942142307	161445.923087206	144151.496233467
6	13470.6049294728	364396.431531601	511301.503915588	280220.127619441	228536.433528585	116193.146220824	419723.863383922	231856.34372237	217317.105189602	150047.848443246	399758.563972913	350044.744949592	442647.28959642	117704.066782258	28685.6786062648	145703.753985893	161445.923087206	144215.763507757
