[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 02:09:40
Order : 30
Analyse step ID : 13126

[SAMPLE]
Sample Name : T20-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13380.157716428	347322.970884203	477982.3833921	269147.599780375	215386.76127441	106566.236360892	422212.344787384	230890.946038585	216511.928808759	149886.766480344	397895.370251651	348797.554646921	440785.688845781	117420.051453932	28594.6450704904	145380.506611548	160803.480098399	143573.090764853
1	13374.127902225	347322.970884203	477982.3833921	269025.923650275	215386.76127441	106627.166170132	422419.718237672	230890.946038585	216511.928808759	149967.307461795	398309.413300821	348797.554646921	440992.53337363	117460.625072264	28614.8747451069	145461.318455134	160867.724397279	143573.090764853
2	13392.217344834	347079.064303526	477737.389858839	269025.923650275	215386.76127441	106566.236360892	422627.091687961	230890.946038585	216592.446446843	149886.766480344	398309.413300821	349005.419697366	441199.377901479	117501.198690596	28624.9895824152	145461.318455134	160867.724397279	143573.090764853
3	13386.187530631	347079.064303526	478717.363991883	269025.923650275	215508.517498985	106749.025788612	422834.465138249	230890.946038585	216672.964084928	149967.307461795	398516.434825405	349005.419697366	441199.377901479	117541.772308929	28665.4489316483	145461.318455134	160803.480098399	143508.823490563
4	13404.2769732399	350249.849852328	493661.9695208	270364.361081371	220135.254032862	110039.235487576	423041.838588538	230890.946038585	216672.964084928	149967.307461795	398516.434825405	349213.284747811	441406.222429327	117582.345927261	28645.2192570317	145542.130298721	160867.724397279	143573.090764853
5	13446.4856726608	359030.486756704	507626.600916674	276204.815326153	226223.065261647	114121.532706662	422834.465138249	230890.946038585	216672.964084928	149886.766480344	398723.45634999	349421.149798256	441613.066957176	117582.345927261	28675.5637689566	145542.130298721	160867.724397279	143573.090764853
6	13476.6347436758	367079.403919049	514486.419847981	281923.593440836	229753.995774342	116985.233740945	415783.76782844	230488.697003675	216753.481723012	148839.733721481	398930.477874574	349629.014848701	442026.756012874	117663.493163926	28685.6786062648	145622.942142307	160867.724397279	143573.090764853
