[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 05:25:27
Order : 52
Analyse step ID : 13148

[SAMPLE]
Sample Name : T27-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12747.0272251144	358786.580176027	497336.872519715	277178.22436695	221352.816278619	108455.060447334	404792.97496315	225420.359163803	211117.247057109	146504.045259401	380091.519137373	336770.038123258	417825.946254565	115310.223300648	26743.6298430762	141743.97365017	157205.799361079	140295.45977604
1	12747.0272251144	358786.580176027	497091.878986454	277056.54823685	221352.816278619	108515.990256575	404792.97496315	225420.359163803	211117.247057109	146504.045259401	380298.540661958	336977.920862841	418032.790782414	115350.79691898	26743.6298430762	141743.97365017	157270.04365996	140359.727050331
2	12747.0272251144	358786.580176027	497091.878986454	277056.54823685	221352.816278619	108515.990256575	405207.721863727	225420.359163803	211197.764695193	146504.045259401	380298.540661958	337081.862232632	418239.635310262	115350.79691898	26763.8595176928	141824.785493756	157270.04365996	140359.727050331
3	12753.0570393173	358786.580176027	497826.859586237	277056.54823685	221474.572503195	108637.849875055	405207.721863727	225420.359163803	211278.282333278	146584.586240852	380505.562186543	337289.744972214	418446.479838111	115350.79691898	26743.6298430762	141824.785493756	157270.04365996	140359.727050331
4	12759.0868535203	361469.552563476	512771.465115154	278394.985667946	225979.552812495	111988.989383259	405622.468764304	225500.808970786	211358.799971362	146584.586240852	380712.583711127	337393.686342005	418653.32436596	115391.370537312	26753.7446803845	141905.597337342	157270.04365996	140359.727050331
5	12789.2359245353	370738.002629206	527961.064177332	284113.763782629	232310.876490432	116315.005839304	405415.095314015	225500.808970786	211358.799971362	146584.586240852	380712.583711127	337601.569081587	418653.32436596	115431.944155645	26784.0891923093	141905.597337342	157270.04365996	140359.727050331
6	12825.4148097532	379274.732952904	535310.870175161	290319.24641771	236085.319452278	119544.285729028	398779.144904784	225179.009742857	211358.799971362	145537.553481989	380919.605235712	337705.510451379	418860.168893809	115472.517773977	26784.0891923093	141986.409180928	157270.04365996	140423.994324621
