[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 05:43:16
Order : 54
Analyse step ID : 13150

[SAMPLE]
Sample Name : T27-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12879.6831375801	356591.420949933	493661.9695208	275474.758545555	220135.254032862	108272.271019614	407903.576717477	226466.206654571	212405.529266458	147148.373111009	381954.712858635	339368.572368037	422583.370395087	115715.959483971	27006.6156130914	142067.221024515	157783.998051006	140873.865244654
1	12891.742765986	356591.420949933	493661.9695208	275353.082415456	220135.254032862	108211.341210374	408110.950167766	226466.206654571	212486.046904543	147148.373111009	382368.755907804	339680.39647741	422997.059450785	115756.533102304	27006.6156130914	142067.221024515	157783.998051006	140873.865244654
2	12885.7129517831	356591.420949933	493416.975987539	275353.082415456	220135.254032862	108211.341210374	408318.323618054	226546.656461553	212566.564542627	147228.91409246	382368.755907804	339888.279216992	423203.903978633	115797.106720636	27036.9601250162	142228.844711687	157783.998051006	140873.865244654
3	12891.742765986	356591.420949933	495866.911320149	275231.406285356	220744.03515574	108759.709493535	408525.697068343	226546.656461553	212647.082180711	147228.91409246	382575.777432389	339992.220586783	423410.748506482	115837.680338969	27036.9601250162	142228.844711687	157783.998051006	140873.865244654
4	12903.802394392	360981.739402121	513506.445714937	277543.252757249	226223.065261647	112781.07690338	408733.070518631	226466.206654571	212647.082180711	147148.373111009	382575.777432389	340096.161956575	423617.593034331	115878.253957301	27047.0749623245	142228.844711687	157783.998051006	140809.597970364
5	12946.0110938129	370250.189467851	526491.102977767	283992.087652529	232067.36404128	116985.233740945	408110.950167766	226546.656461553	212647.082180711	147067.832129558	382782.798956974	340200.103326366	423824.43756218	115878.253957301	27057.1897996327	142309.656555273	157719.753752125	140873.865244654
6	12976.1601648279	378299.106630196	533105.928375812	289832.541897311	235476.5383294	119909.864584469	398157.024553918	225822.608198714	212647.082180711	145295.930537636	382782.798956974	340407.986065948	423824.43756218	115878.253957301	27077.4194742493	142309.656555273	157783.998051006	140809.597970364
