[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 01:51:51
Order : 28
Analyse step ID : 13124

[SAMPLE]
Sample Name : T20-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13476.6347436758	344639.998496755	474307.480393186	267200.781698781	213925.686579501	106261.587314692	427811.427945173	232419.492371245	218283.316846614	150933.799239207	403070.908366267	352539.125554933	444715.734874908	118190.950202247	28726.1379554979	146511.872421755	161895.633179371	144537.09987921
1	13476.6347436758	344639.998496755	474062.486859925	267200.781698781	213925.686579501	106200.657505452	428226.17484575	232419.492371245	218363.834484699	150933.799239207	403070.908366267	352746.990605378	444715.734874908	118190.950202247	28726.1379554979	146511.872421755	161895.633179371	144537.09987921
2	13476.6347436758	344639.998496755	474062.486859925	267200.781698781	213925.686579501	106200.657505452	428226.17484575	232499.942178227	218363.834484699	150933.799239207	403277.929890852	352954.855655823	444922.579402757	118231.523820579	28766.597304731	146592.684265341	161895.633179371	144537.09987921
3	13488.6943720817	344639.998496755	474307.480393186	267200.781698781	214047.442804077	106200.657505452	428640.921746327	232419.492371245	218444.352122783	150933.799239207	403484.951415436	352954.855655823	445129.423930606	118272.097438912	28766.597304731	146592.684265341	161895.633179371	144472.832604919
4	13488.6943720817	346835.157722849	487292.137656016	268052.514609478	217821.885765924	109064.358539735	428848.295196616	232499.942178227	218444.352122783	150933.799239207	403484.951415436	353162.720706269	445336.268458455	118272.097438912	28766.597304731	146673.496108927	161959.877478251	144472.832604919
5	13536.9328857056	355127.981465871	502236.743184933	273406.264333862	224153.20944386	113146.65575882	428640.921746327	232419.492371245	218444.352122783	150933.799239207	403691.972940021	353370.585756714	445543.112986303	118312.671057244	28776.7121420393	146673.496108927	161895.633179371	144472.832604919
6	13579.1415851265	363176.898628215	509341.555649501	279368.394708743	228049.408630282	116193.146220824	423041.838588538	232178.142950299	218524.869760867	150047.848443246	403898.994464605	353370.585756714	445749.957514152	118312.671057244	28776.7121420393	146673.496108927	161959.877478251	144472.832604919
