[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 02:36:21
Order : 33
Analyse step ID : 13129

[SAMPLE]
Sample Name : T21-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13036.4583068577	351469.382755714	484352.215256885	271824.474642566	217213.104643045	107236.464262533	413295.286424978	230569.146810657	214982.093685157	149967.307461795	387544.29402242	342977.333234457	431270.840564736	116162.269285628	27421.3239427306	143521.834209066	160803.480098399	143573.090764853
1	13042.4881210607	351469.382755714	484107.221723624	271702.798512467	217091.348418469	107175.534453293	413710.033325555	230569.146810657	215143.128961325	149886.766480344	387751.315547005	343185.198284902	431477.685092585	116202.84290396	27441.5536173471	143602.646052652	160739.235799518	143573.090764853
2	13036.4583068577	351225.476175037	484107.221723624	271824.474642566	217213.104643045	107175.534453293	413710.033325555	230649.596617639	215143.128961325	149967.307461795	387751.315547005	343393.063335348	431684.529620434	116243.416522292	27441.5536173471	143683.457896238	160739.235799518	143573.090764853
3	13048.5179352637	351225.476175037	485087.195856667	271824.474642566	217456.617092196	107297.394071773	414124.780226132	230649.596617639	215223.64659941	149967.307461795	388165.358596174	343600.928385793	431891.374148283	116243.416522292	27461.7832919637	143683.457896238	160803.480098399	143573.090764853
4	13048.5179352637	354640.168304516	501991.749651672	273284.588203762	222448.6222998	111257.831672378	414332.153676421	230649.596617639	215223.64659941	149967.307461795	388165.358596174	343600.928385793	432305.06320398	116283.990140625	27471.898129272	143683.457896238	160803.480098399	143573.090764853
5	13090.7266346846	364640.338112278	517426.342247112	279611.746968943	229023.458426888	115888.497174624	414124.780226132	230730.046424621	215304.164237494	149967.307461795	388372.380120758	343808.793436238	432305.06320398	116283.990140625	27502.2426411968	143845.081583411	160803.480098399	143573.090764853
6	13132.9353341055	373177.068435977	525021.141778201	286182.257994322	232919.65761331	119300.566492068	406037.215664881	230247.347582729	215304.164237494	148678.651758579	388372.380120758	344016.658486683	432511.907731829	116324.563758957	27522.4723158133	143764.269739825	160867.724397279	143637.358039143
