[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 23:20:34
Order : 11
Analyse step ID : 13107

[SAMPLE]
Sample Name : Q14-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13681.6484265773	342261.278950111	466957.674395358	265862.344267685	212951.636782896	105835.078650011	413295.286424978	232178.142950299	215545.717151747	151175.42218356	390649.616891189	343393.063335348	445336.268458455	116243.416522292	28291.1999512422	144329.952644928	162538.076168178	145115.505347824
1	13681.6484265773	342261.278950111	466712.680862097	265740.668137585	212951.636782896	105774.148840771	413710.033325555	232178.142950299	215545.717151747	151175.42218356	390856.638415774	343600.928385793	445336.268458455	116283.990140625	28301.3147885504	144410.764488514	162538.076168178	145115.505347824
2	13681.6484265773	342261.278950111	466467.687328836	265740.668137585	212951.636782896	105774.148840771	413917.406775844	232178.142950299	215626.234789831	151255.963165011	390856.638415774	343808.793436238	445543.112986303	116283.990140625	28311.4296258587	144410.764488514	162602.320467058	145115.505347824
3	13693.7080549833	342261.278950111	468182.642061662	265862.344267685	213073.393007471	106078.797886972	414124.780226132	232178.142950299	215706.752427916	151255.963165011	391270.681464943	344016.658486683	445956.802042001	116365.13737729	28341.7741377835	144491.5763321	162538.076168178	145115.505347824
4	13693.7080549833	346772.738629896	491702.021254713	267809.162349279	220257.010257438	111196.901863138	414332.153676421	232178.142950299	215706.752427916	151255.963165011	391270.681464943	344224.523537128	446163.64656985	116405.710995622	28351.8889750918	144410.764488514	162602.320467058	145115.505347824
5	13723.8571259982	360429.049011945	513751.439248198	277056.54823685	229388.727100615	117350.812596386	413917.406775844	232178.142950299	215787.270066	151175.42218356	391477.702989528	344224.523537128	446163.64656985	116405.710995622	28362.0038124001	144491.5763321	162602.320467058	145115.505347824
6	13747.9763828102	372866.045967026	524286.161178418	286060.581864223	234746.000981946	121737.758861671	404585.601512861	231775.893915388	215787.270066	149645.143535991	391477.702989528	344432.388587573	446577.335625547	116446.284613954	28392.3483243249	144572.388175686	162602.320467058	145115.505347824
