[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:18:52
Order : 58
Analyse step ID : 13154

[SAMPLE]
Sample Name : T29-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13271.6210607742	353176.728820454	487537.131189277	273162.912073662	218552.423113378	108028.551782654	414124.780226132	225742.158391732	212566.564542627	146584.586240852	389407.487743682	341938.007982232	428581.861702702	116689.726323949	27937.1806454526	142956.151303963	156948.822165557	140102.657953169
1	13277.6508749772	352932.822239777	487537.131189277	273162.912073662	218430.666888802	108028.551782654	414332.153676421	225822.608198714	212566.564542627	146665.127222303	389407.487743682	341938.007982232	428581.861702702	116689.726323949	27947.2954827608	142956.151303963	156948.822165557	140166.925227459
2	13277.6508749772	352932.822239777	487537.131189277	273041.235943563	218552.423113378	108028.551782654	414539.527126709	225903.058005696	212647.082180711	146665.127222303	389614.509268266	342145.873032677	428995.5507584	116730.299942281	27947.2954827608	143036.963147549	157013.066464437	140166.925227459
3	13283.6806891802	354396.261723839	499541.814319063	273649.616594061	221718.084952346	110587.603770737	414746.900576998	225903.058005696	212647.082180711	146665.127222303	389614.509268266	342353.738083122	429202.395286249	116770.873560614	27967.5251573774	143117.774991135	157013.066464437	140166.925227459
4	13301.7701317891	363420.805208892	518651.309913417	279003.366318444	229266.970876039	115522.918319183	414954.274027286	225903.058005696	212727.599818796	146665.127222303	389821.530792851	342561.603133567	429409.239814097	116770.873560614	27997.8696693022	143117.774991135	157013.066464437	140102.657953169
5	13337.9490170071	373177.068435977	528206.057710593	286303.934124422	234015.463634491	119239.636682828	411014.178471805	225822.608198714	212727.599818796	146181.881333597	390028.552317435	342561.603133567	429409.239814097	116811.447178946	27997.8696693022	143117.774991135	156948.822165557	140166.925227459
6	13362.068273819	380738.172436967	533595.915442334	291536.007718706	236937.613024308	121981.478098631	392143.194495551	223489.563796233	212566.564542627	142154.832261046	389821.530792851	342561.603133567	429616.084341946	116852.020797278	28028.214181227	143198.586834721	157013.066464437	140166.925227459
