[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 02:18:32
Order : 31
Analyse step ID : 13127

[SAMPLE]
Sample Name : T21-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13337.9490170071	348298.597206912	479207.351058405	269634.304300773	215873.786172712	106688.095979372	420968.104085653	230649.596617639	216350.89353259	149806.225498893	396446.219579559	347758.229394695	439751.466206537	117257.756980602	28544.070883949	145057.259237204	160803.480098399	143444.556216272
1	13331.9192028041	348054.690626235	479207.351058405	269634.304300773	215995.542397288	106566.236360892	421175.477535941	230730.046424621	216431.411170675	149806.225498893	396653.241104144	348173.959495585	439751.466206537	117257.756980602	28523.8412093325	145138.07108079	160739.235799518	143508.823490563
2	13337.9490170071	348054.690626235	479207.351058405	269634.304300773	215873.786172712	106566.236360892	421382.85098623	230730.046424621	216431.411170675	149886.766480344	396860.262628728	348173.959495585	440165.155262235	117298.330598935	28544.070883949	145138.07108079	160803.480098399	143508.823490563
3	13356.038459616	349518.130110297	489987.066521886	270121.008821172	218917.691787105	109064.358539735	421590.224436518	230730.046424621	216511.928808759	149886.766480344	396860.262628728	348381.824546031	440371.999790084	117338.904217267	28564.3005585656	145218.882924376	160739.235799518	143508.823490563
4	13374.127902225	358054.860433996	508361.581516457	275109.730155256	225979.552812495	114060.602897421	421797.597886807	230730.046424621	216511.928808759	149886.766480344	397067.284153313	348589.689596476	440578.844317932	117338.904217267	28584.5302331821	145218.882924376	160803.480098399	143444.556216272
5	13440.4558584578	367323.310499726	517426.342247112	282045.269570935	230484.533121796	117899.180879546	417442.755430748	230649.596617639	216592.446446843	149322.979610187	397274.305677897	348589.689596476	440785.688845781	117379.477835599	28594.6450704904	145299.694767962	160803.480098399	143508.823490563
6	13458.5453010668	374396.601339362	522571.206445592	287033.99090502	233284.926287037	120580.09248611	396083.290051033	227914.303180248	216350.89353259	144651.602686028	397067.284153313	348589.689596476	440785.688845781	117420.051453932	28604.7599077986	145299.694767962	160803.480098399	143508.823490563
