[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 23:11:40
Order : 10
Analyse step ID : 13106

[SAMPLE]
Sample Name : Q14-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	14200.2124480342	384571.454865925	513506.445714937	295794.672272193	234258.976083643	127830.739785679	143722.03063048	68460.9352480065	121420.598231167	60202.7563588198	265194.572992906	137098.666754499	258969.348866691	85448.0402080097	16891.7783048174	101822.922918594	126561.268794984	108675.960825142
20	14133.8844918013	384327.592180531	513016.458648415	295794.672272193	234015.463634491	127587.020548718	142373.98849614	67938.025636829	119407.657279059	60122.2175543264	259812.013353706	130342.477718076	239447.922753115	82567.3133064102	16021.9022963059	97385.4685048794	123798.763943114	106555.140773557
21	14061.5267213655	384083.729495137	512771.465115154	295672.996142093	233771.95118534	127343.301311758	141855.510752162	68018.4732693178	117877.822155457	60283.2951633132	255464.561337429	125096.256492305	222912.891402015	80173.4698247992	15283.5191728019	93579.1341849382	121678.702080051	104948.458916296
22	13995.1987651326	383961.798152441	512526.471581893	295551.320011994	233771.95118534	127099.582074798	141751.815203367	68501.1590642509	116750.575222276	60726.2585880269	251863.116168104	120886.536186582	209271.490537357	78185.3625265122	14696.858608922	90623.1511492391	120136.838906914	103855.915253358
23	13928.8708088998	383596.00412435	512281.478048632	295307.967751794	233528.438736189	126855.862837837	142062.901849753	69386.0830216282	115945.398841433	61330.2996217274	249068.087751935	117716.252993382	197800.312537532	76602.9914115491	14211.3464181249	88355.5477245933	119044.685825942	103020.440687583
24	13868.5726668699	383230.210096259	511791.49098211	295307.967751794	233406.682511613	126612.143600877	142581.379593731	70552.5736927164	115462.293012927	62055.1488621681	246790.657190612	115273.57577895	188292.66951065	75304.6356249127	13837.0974377187	86654.8451561089	118273.754239374	102570.569767549
25	13802.2447106371	382986.347410866	511546.497448849	294942.939361496	233163.170062462	126368.424363917	143307.248435299	71920.1834450267	115140.22246059	62900.8063093488	244927.304913166	113402.588976406	180438.529618877	74249.7215482706	13553.8819930871	85359.071770597	117824.044147209	102377.767944678
26	13735.9167544042	382742.484725472	511301.503915588	294821.263231396	233041.413837886	126063.775317716	144240.508374458	73529.1360948036	115059.704822505	63907.5413655164	243581.550490566	112103.292585751	173824.517078437	73478.8227999552	13331.355572305	84427.7346497603	117631.311250567	102377.767944678
27	13675.6186123743	382498.622040078	511056.510382327	294821.263231396	232797.901388734	125820.056080756	145277.463862412	75218.5363770694	115140.22246059	64914.2764216839	242546.354780874	111219.771040105	168450.63188933	72870.2185249694	13149.2885007561	83820.3408753016	117695.555549447	102570.569767549
28	13609.2906561415	382254.759354684	510566.523315805	294577.910971197	232554.388939583	125637.266653036	146418.114899162	77028.6081080684	115301.257736758	65961.2808800982	241718.19821312	110596.108772591	164006.842213722	72423.9087233131	13027.9104530568	83415.4116923291	117888.288446089	102827.638864711
