[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:29:55
Order : 29
Analyse step ID : 13086

[SAMPLE]
Sample Name : H7-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15888.5604248705	321532.950691644	433393.560338608	251504.560915929	203211.13881684	102483.939141807	441498.075664214	231856.34372237	218444.352122783	150450.553350501	418804.544234699	359190.807169177	492289.976280131	119854.468553875	32428.1684103262	148370.544824237	160803.480098399	143637.358039143
1	15882.5306106676	321532.950691644	433638.553871869	251626.237046028	203211.13881684	102483.939141807	441498.075664214	231856.34372237	218524.869760867	150450.553350501	419011.565759283	359606.537270067	492289.976280131	119895.042172207	32448.3980849427	148451.356667823	160803.480098399	143573.090764853
2	15888.5604248705	321532.950691644	433638.553871869	251504.560915929	203089.382592264	102423.009332567	441912.822564791	231856.34372237	218444.352122783	150450.553350501	419011.565759283	359606.537270067	492496.82080798	119935.61579054	32428.1684103262	148451.356667823	160867.724397279	143637.358039143
3	15888.5604248705	321532.950691644	433638.553871869	251504.560915929	203211.13881684	102483.939141807	441912.822564791	231856.34372237	218605.387398952	150450.553350501	419218.587283868	359606.537270067	492910.509863677	119976.189408872	32458.512922251	148451.356667823	160867.724397279	143637.358039143
4	15894.5902390735	322874.195461309	440008.385736654	251991.265436327	205524.507083778	104311.833419009	442120.19601508	231856.34372237	218605.387398952	150450.553350501	419218.587283868	359814.402320513	492910.509863677	120016.763027205	32498.9722714841	148532.16851141	160867.724397279	143637.358039143
5	15936.7989384944	327507.58648379	447358.191734482	255276.520949017	209298.950045625	107114.604644053	442120.19601508	231856.34372237	218605.387398952	150450.553350501	419425.608808452	360022.267370958	493117.354391526	120016.763027205	32488.8574341758	148532.16851141	160867.724397279	143637.358039143
6	15972.9778237124	332019.046163574	451033.094733396	258561.776461707	211734.074537139	109064.358539735	437972.72700931	231695.444108406	218605.387398952	149806.225498893	419632.630333037	360230.132421403	493531.043447224	120057.336645537	32509.0871087924	148612.980354996	160867.724397279	143701.625313434
