[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:23:20
Order : 35
Analyse step ID : 13092

[SAMPLE]
Sample Name : Q9-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	14073.5863497715	339456.858068083	460097.855464051	263915.526186091	211490.562087987	104921.13151141	405622.468764304	230327.797389711	213210.705647302	150208.930406148	384645.992678235	337497.627711796	452162.137877465	115066.781590653	28351.8889750918	142794.52761679	161638.655983848	144280.030782048
1	14073.5863497715	339456.858068083	459852.86193079	263915.526186091	211490.562087987	104799.27189293	405829.842214592	230408.247196693	213291.223285386	150208.930406148	384645.992678235	337705.510451379	452368.982405313	115107.355208986	28392.3483243249	142875.339460377	161574.411684967	144215.763507757
2	14079.6161639745	339212.99538269	459852.86193079	263793.850055991	211490.562087987	104860.20170217	406037.215664881	230408.247196693	213371.74092347	150208.930406148	385060.035727404	337913.393190961	452575.826933162	115147.928827318	28392.3483243249	142956.151303963	161638.655983848	144280.030782048
3	14085.6459781775	339334.926725387	462547.790796661	263793.850055991	211977.58698629	105469.499794571	406451.962565458	230408.247196693	213371.74092347	150208.930406148	385060.035727404	338121.275930543	452989.51598886	115147.928827318	28392.3483243249	142875.339460377	161638.655983848	144280.030782048
4	14091.6757923804	345675.356545624	491947.014787974	266835.753308482	220987.547604892	112232.708620219	406659.336015746	230488.697003675	213452.258561555	150208.930406148	385267.057251989	338329.158670125	453196.360516709	115188.50244565	28412.5779989414	143036.963147549	161638.655983848	144280.030782048
5	14127.8546775984	362136.087809701	515956.381047546	277908.281147548	231458.582918402	119788.004965989	406037.215664881	230488.697003675	213532.776199639	150208.930406148	385474.078776574	338537.041409708	453403.205044558	115188.50244565	28422.6928362497	143036.963147549	161638.655983848	144280.030782048
6	14151.9739344103	376036.260877144	527471.077110811	288250.752206016	237181.12547346	124906.108942155	392972.688296706	229764.648740836	213532.776199639	147873.241944069	385474.078776574	338744.92414929	453610.049572406	115269.649682315	28463.1521854828	143036.963147549	161702.900282729	144280.030782048
