[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:58:55
Order : 39
Analyse step ID : 13096

[SAMPLE]
Sample Name : Q10-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	12204.3439468455	394153.034374208	533350.921909073	301270.098126676	237789.906596338	126124.705126956	143618.335081685	68702.278145473	120776.457126493	59477.9071183791	247308.255045458	131589.774155569	240894.737996336	82851.3286347369	15546.504942817	99641.0031417671	123541.786747591	104177.251624811
20	12174.1948758306	393909.127793531	533105.928375812	301026.745866477	237546.394147187	125941.915699236	142788.770691321	68621.8305129841	118924.551450553	59598.7153251192	243270.991777659	126187.665460456	224566.394537125	80457.485153126	14929.4998670123	96049.2022010702	120843.526194602	102120.698847516
21	12125.9563622067	393421.314632177	532615.94130929	301026.745866477	237302.881698035	125759.126271516	142477.684044935	69024.0686754284	117555.751603119	60001.4093475862	240165.404648582	121925.973299106	210718.305780579	78428.8042365066	14454.1025135234	92890.754573885	118594.975733777	100514.016990255
22	12089.7774769888	393421.314632177	532370.947776029	300783.393606278	237181.12547346	125576.336843796	142581.379593731	69788.3211840724	116509.022308023	60605.4503812868	237577.415374352	118703.71825028	199143.783834809	76765.2858848786	14029.2793465759	90461.1794760501	116924.623962879	99485.740601608
23	12047.5687775679	393177.4080515	532125.954242768	300783.393606278	237059.369248884	125271.687797595	142996.161788912	70874.3642226718	115784.363565264	61330.2996217274	235507.023954967	116209.069180222	189532.796861982	75426.3564799098	13685.3748780946	88477.026479485	115703.982284146	98714.5333101227
24	12005.360078147	392933.501470823	531880.960709507	300540.041346078	236937.613024308	125088.898369875	143618.335081685	72161.5263424933	115301.257736758	62175.9570689082	233954.230390429	114338.082377678	181575.313024265	74371.4424032677	13432.5039453878	87019.2814207841	114804.562099816	98264.6623900896
25	11975.211007132	392445.688309468	531390.973642986	300540.041346078	236937.613024308	124845.179132915	144447.899472048	73690.0313597813	114979.187184421	63102.1533205823	232815.515109768	112934.84227577	174961.300483825	73478.8227999552	13220.092361914	85966.4655450557	114226.363409889	97943.3260186374
26	11945.0619361171	392445.688309468	531390.973642986	300418.365215979	236572.344350581	124601.459895954	145381.159411207	75379.4316420471	114898.669546337	64108.8883767499	231883.838971045	112051.320730125	169587.415294718	72870.2185249694	13078.4846395982	85197.100097408	113840.897616605	97879.058744347
27	11902.8532366962	392201.781728791	530900.986576464	300175.01295578	236572.344350581	124296.810849754	146418.114899162	77149.2795568016	114898.669546337	65155.8928351641	231262.72154523	111427.65846261	165040.281673165	72383.3351049807	12967.2214292072	84630.1992412465	113648.164719963	98007.5932929278
28	11866.6743514783	391713.968567437	530655.993043203	300053.33682568	236450.588126005	124114.021422034	147558.765935912	78999.575104045	114979.187184421	66283.4360980718	230745.123690384	111063.855473227	161526.587511057	72018.1725399892	12866.0730561244	84265.7629765713	113648.164719963	98264.6623900896
