[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:56:37
Order : 32
Analyse step ID : 13089

[SAMPLE]
Sample Name : H8-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16057.3952225542	321045.225320856	432413.586205565	251261.20865573	203089.382592264	102483.939141807	446267.66502085	232580.391985209	219652.116694048	150933.799239207	423980.082349314	362724.513026744	495599.488725712	120584.793683858	33256.9232493503	149340.286947271	161253.190190564	143958.694410596
1	16069.4548509601	321045.225320856	432413.586205565	251139.53252563	203211.13881684	102423.009332567	446475.038471138	232580.391985209	219732.634332132	150853.258257756	424187.103873899	362932.378077189	495806.33325356	120625.36730219	33256.9232493503	149340.286947271	161253.190190564	143958.694410596
2	16063.4250367572	321045.225320856	432413.586205565	251139.53252563	203211.13881684	102483.939141807	446682.411921427	232580.391985209	219732.634332132	150853.258257756	424394.125398483	363140.243127635	496013.177781409	120665.940920523	33277.1279414823	149421.098790858	161253.190190564	144022.961684886
3	16075.4846651631	321045.225320856	432413.586205565	251139.53252563	203211.13881684	102483.939141807	446889.785371715	232580.391985209	219813.151970217	150933.799239207	424394.125398483	363140.243127635	496220.022309258	120665.940920523	33277.1279414823	149421.098790858	161253.190190564	143958.694410596
4	16075.4846651631	322264.538747825	439273.405136871	251747.913176128	205524.507083778	104311.833419009	447097.158822004	232580.391985209	219813.151970217	150853.258257756	424601.146923068	363348.10817808	496426.866837107	120706.514538855	33317.5373257464	149501.910634444	161317.434489444	144022.961684886
5	16117.693364584	326897.929770306	446133.224068177	254789.816428619	209177.193821049	106870.885407093	446889.785371715	232660.841792191	219893.669608301	150853.258257756	424808.168447653	363348.10817808	496633.711364956	120747.088157188	33317.5373257464	149501.910634444	161253.190190564	144022.961684886
6	16184.0213208169	331043.595421999	449808.127067092	257953.395811209	211368.805863412	108820.639302775	441705.449114503	232339.042564263	219893.669608301	150047.848443246	424808.168447653	363555.973228525	496840.555892804	120787.66177552	33337.7420178785	149582.72247803	161317.434489444	144022.961684886
