[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 05:34:22
Order : 53
Analyse step ID : 13149

[SAMPLE]
Sample Name : T27-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12825.4148097532	357323.140691965	494886.937187105	275961.463065954	220744.03515574	108272.271019614	406866.709466035	225581.258777768	211761.388161784	146584.586240852	381333.648284881	338640.982779499	421135.458700146	115594.238628974	26875.1227280838	141986.409180928	157334.287958841	140359.727050331
1	12825.4148097532	357323.140691965	494886.937187105	275961.463065954	220744.03515574	108333.200828854	407074.082916323	225581.258777768	211841.905799868	146584.586240852	381540.669809466	338744.92414929	420928.614172297	115594.238628974	26885.2375653921	142067.221024515	157334.287958841	140359.727050331
2	12831.4446239562	357079.234111288	494886.937187105	275961.463065954	220744.03515574	108333.200828854	407074.082916323	225661.70858475	211922.423437952	146584.586240852	381747.69133405	338952.806888872	421342.303227994	115634.812247307	26915.5820773169	142067.221024515	157270.04365996	140359.727050331
3	12831.4446239562	357079.234111288	495621.917786888	275839.786935854	220865.791380316	108455.060447334	407488.8298169	225661.70858475	211922.423437952	146584.586240852	381954.712858635	339056.748258663	421549.147755843	115675.385865639	26915.5820773169	142148.032868101	157270.04365996	140423.994324621
4	12843.5042523621	360250.01966009	510566.523315805	277178.22436695	225370.771689617	111867.129764779	407696.203267189	225661.70858475	212002.941076037	146584.586240852	381954.712858635	339264.630998246	421755.992283692	115675.385865639	26935.8117519335	142148.032868101	157270.04365996	140359.727050331
5	12873.6533233771	369030.656564466	525266.135311462	282897.002481633	231336.826693826	116071.286602344	407488.8298169	225661.70858475	212002.941076037	146584.586240852	382161.73438322	339368.572368037	421962.836811541	115715.959483971	26935.8117519335	142228.844711687	157334.287958841	140359.727050331
6	12915.862022798	377323.480307488	532615.94130929	288859.132856514	235233.025880248	119239.636682828	400645.50595738	225339.909356821	212002.941076037	145457.012500538	382161.73438322	339472.513737828	422169.68133939	115715.959483971	26986.3859384748	142228.844711687	157270.04365996	140359.727050331
