[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:32:13
Order : 36
Analyse step ID : 13093

[SAMPLE]
Sample Name : Q9-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12933.9514654069	348786.410368266	476022.435126013	269877.656560972	215752.029948137	105652.289222291	397120.157302475	229845.098547818	211600.352885615	149967.307461795	372845.765776912	332820.266071195	438510.399039444	113646.70494902	26541.3330969108	141259.102588653	161767.144581609	144408.565330629
1	12933.9514654069	348542.503787589	475777.441592752	269755.980430873	215630.273723561	105591.359413051	397327.530752764	229764.648740836	211680.870523699	150047.848443246	373052.787301496	333028.148810778	438717.243567293	113687.278567352	26571.6776088356	141259.102588653	161767.144581609	144472.832604919
2	12933.9514654069	348542.503787589	475777.441592752	269755.980430873	215508.517498985	105591.359413051	397534.904203052	229845.098547818	211761.388161784	150047.848443246	373259.808826081	333236.03155036	438924.088095142	113727.852185684	26602.0221207604	141339.914432239	161831.38888049	144472.832604919
3	12946.0110938129	348542.503787589	478962.357525144	269755.980430873	216239.05484644	106261.587314692	397742.277653341	229925.5483548	211841.905799868	150047.848443246	373466.830350665	333443.914289942	439337.777150839	113768.425804017	26591.9072834521	141420.726275825	161831.38888049	144472.832604919
4	12952.0409080159	355127.981465871	508116.587983196	272797.883683364	225249.015465041	112902.93652186	398157.024553918	229925.5483548	211922.423437952	150128.389424697	373673.85187525	333651.797029525	439544.621678688	113768.425804017	26602.0221207604	141420.726275825	161831.38888049	144472.832604919
5	12988.2197932338	371225.81579056	531635.967176247	283870.41152243	235354.782104824	120092.654012189	397534.904203052	229925.5483548	211922.423437952	150047.848443246	373673.85187525	333755.738399316	439544.621678688	113808.999422349	26632.3666326852	141420.726275825	161831.38888049	144472.832604919
6	13006.3092358428	384884.584308478	542905.66970625	294091.206450798	240955.568435306	124967.038751395	384885.123735454	229201.500091961	211922.423437952	147792.700962618	373880.873399835	333963.621138898	439751.466206537	113849.573040682	26622.251795377	141501.538119411	161895.633179371	144472.832604919
