[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 00:58:28
Order : 22
Analyse step ID : 13118

[SAMPLE]
Sample Name : T18-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	12747.0272251144	382689.425082384	521101.245246026	293361.1496702	231702.095367553	122834.495427992	179496.994964907	87607.4717803514	136879.984743358	71397.6501834029	281549.273435091	166306.191665807	276757.978261687	91493.5093395356	17913.3768729531	111681.967836109	133499.6530741	113367.471848344
20	12710.8483398964	382689.425082384	520856.251712765	293239.473540101	231702.095367553	122712.635809512	177734.170635385	86722.5478229741	134303.42032466	71156.0337699227	277615.864467984	159446.061259592	259383.037922388	88977.9450029275	17276.1421225319	107641.3756568	130737.14822223	111182.384522469
21	12674.6694546785	382689.425082384	520611.258179504	293239.473540101	231580.339142977	122529.846381792	176697.21514743	86440.9811092631	132370.997010636	71196.3031721694	274303.52007463	154041.110030453	244615.120050333	86786.9696129786	16740.0557451933	104166.466382594	128424.353462525	109382.900842337
22	12644.5203836636	382445.518501707	520366.264646243	293117.797410001	231336.826693826	122468.916572552	176178.737403453	86642.1001904852	130760.644248949	71478.1889878964	271612.240255029	149675.572499226	231800.470753231	84920.5831696887	16295.0029036293	101338.051857077	126561.268794984	108033.288082237
23	12620.4011268516	382445.518501707	520366.264646243	292996.121279902	231336.826693826	122286.127144832	175971.346305862	87245.4574341516	129633.397315769	71921.1524126101	269335.003484598	146141.565926328	220846.012483127	83419.3592913903	15940.9835978397	98994.5083930776	125083.649920728	106940.7444193
24	12590.2520558367	381957.705340353	520121.271112982	292996.121279902	231215.07046925	122164.267526351	176075.041854658	88170.6052077733	128747.703296841	72525.1934463106	267471.809763337	143335.148941967	211751.745240022	82121.0035047539	15627.4236412832	97385.4685048794	123927.252540875	106169.537127814
25	12560.1029848218	381957.705340353	519876.277579721	292874.445149802	231093.314244675	121981.478098631	176386.128501044	89296.8720626171	128103.562192166	73250.0426867513	266229.680615829	141256.321546145	204000.949294194	81066.0894281118	15394.7823831929	95968.2163644758	123092.076655426	105719.666207781
26	12529.9539138068	381713.798759676	519631.28404646	292752.769019702	230971.558020099	121859.618480151	176904.606245021	90664.4818149275	127620.456363661	74015.1613294386	264987.551468321	139593.259629486	197386.936753754	80254.617061464	15212.715311644	94834.4146521528	122513.8779655	105462.597110619
27	12505.8346569949	381469.892178998	519386.290513199	292631.092889603	230849.801795523	121676.829052431	177526.779537794	92152.7630159711	127298.385811323	74901.088178866	264159.465369983	138345.963191993	192013.051564647	79605.4391681458	15071.1075893281	93984.0633679107	122064.167873335	105269.795287748
28	12475.6855859799	381469.892178998	519141.296979939	292631.092889603	230728.045570948	121433.109815471	178356.343928157	93761.715665748	127137.350535155	75827.2844305402	263538.400796229	137618.373603455	187465.917943095	79077.9821298248	14949.7295416289	93417.1625117492	121871.434976693	105269.795287748
29	12451.566329168	381225.985598321	518896.303446678	292509.416759503	230728.045570948	121311.25019699	179185.908318521	95531.5635805025	127056.83289707	76793.7500844611	262917.336222475	136994.725384708	183848.879835041	78712.8195648333	14889.0405177792	92971.7404104795	121742.946378932	105462.597110619
30	12421.4172581531	381225.985598321	518896.303446678	292387.740629403	230606.289346372	121189.39057851	180119.16825768	97301.4114952571	127137.350535155	77800.4851406286	262710.31469789	136682.901275335	180645.217510766	78428.8042365066	14838.4663312378	92688.2899823987	121742.946378932	105591.1316592
31	12397.2980013411	380982.079017644	518651.309913417	292144.388369204	230484.533121796	121006.60115079	181052.428196839	99151.7070425005	127298.385811323	78847.4895990429	262503.293173306	136578.959905544	178268.306754045	78266.509763177	14818.2366566213	92526.3183092097	121871.434976693	105912.468030652
32	12361.1191161232	380738.172436967	518651.309913417	292144.388369204	230484.533121796	120823.81172307	182089.383684793	101002.002589744	127539.938725576	79854.2246552104	262503.293173306	136682.901275335	176201.427835158	78185.3625265122	14798.0069820047	92445.3324726153	121999.923574454	106233.804402105
33	12343.0296735142	380738.172436967	518161.322846895	292022.712239105	230362.77689722	120701.95210459	183126.339172748	102932.745769476	127781.491639829	80901.2291136247	262296.271648721	136890.784014917	174651.268645992	78144.7889081798	14798.0069820047	92485.8253909125	122256.900769977	106619.408047847
34	12318.9104167023	380494.26585629	517916.329313634	291901.036109005	230241.020672645	120519.162676869	184370.685758293	104823.265132964	128103.562192166	81948.2335720389	262296.271648721	137306.549494082	173411.14129466	78185.3625265122	14818.2366566213	92566.811227507	122513.8779655	107005.01169359
35	12294.7911598903	380250.359275613	517916.329313634	291779.359978905	230119.264448069	120458.232867629	185407.641246247	106754.008312696	128425.632744504	82995.2380304532	262503.293173306	137722.314973246	172377.701835216	78225.9361448446	14838.4663312378	92688.2899823987	122835.099459904	107454.882613623
36	12270.6719030784	380250.359275613	517671.335780373	291657.683848806	229997.508223493	120336.373249149	186444.596734202	108644.527676184	128828.220934925	84042.2424888674	262710.31469789	138242.021822202	171860.982105494	78307.0833815094	14868.8108431627	92809.7687372905	123156.320954307	107904.753533656
37	12246.5526462664	379762.546114259	517426.342247112	291536.007718706	229997.508223493	120092.654012189	187688.943319747	110535.047039672	129230.809125347	85089.2469472817	262917.336222475	138969.61141074	171447.606321717	78469.377854839	14919.385029704	92971.7404104795	123541.786747591	108354.624453689
38	12228.4632036575	379762.546114259	517181.348713851	291536.007718706	229875.751998918	119970.794393709	188829.594356497	112425.56640316	129633.397315769	86095.9820034493	263124.35774706	139697.200999278	171240.918429828	78631.6723281685	14939.6147043206	93174.2050019657	123927.252540875	108804.495373723
39	12210.3737610485	379518.639533582	517181.348713851	291292.655458507	229753.995774342	119848.934775229	189970.245393247	114275.861950403	130035.98550619	87142.9864618635	263331.379271644	140320.849218024	171344.262375772	78793.9668014981	15010.4185654785	93376.669593452	124312.71833416	109318.633568046
40	12192.2843184396	379274.732952904	516936.35518059	291292.655458507	229753.995774342	119727.075156748	191214.591978792	116126.157497647	130519.091334696	88149.7215180311	263745.422320814	141152.380176353	171550.950267661	78996.83489316	15050.8779147116	93579.1341849382	124698.184127444	109832.77176237
