[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 16:14:07
Order : 7
Analyse step ID : 13064

[SAMPLE]
Sample Name : H3-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16600.1486238846	315070.58952871	416734.000076864	247732.60088284	200532.501876174	101569.992003206	418479.622682191	227029.355303445	212325.011628374	148195.405869873	400172.607022082	344848.118688464	492910.509863677	117501.198690596	32155.0678030028	145461.318455134	158105.219545409	141130.934341816
1	16612.203924265	315070.58952871	416489.006543603	247610.924752741	200532.501876174	101569.992003206	418686.996132479	227029.355303445	212325.011628374	148195.405869873	400379.628546667	345055.983738909	493117.354391526	117501.198690596	32144.9529656945	145542.130298721	158105.219545409	141130.934341816
2	16612.203924265	314948.658186013	416734.000076864	247732.60088284	200410.745651599	101569.992003206	418894.369582768	227029.355303445	212405.529266458	148195.405869873	400379.628546667	345263.848789354	493324.198919375	117501.198690596	32165.1826403111	145542.130298721	158105.219545409	141066.667067526
3	16612.203924265	315070.58952871	416978.993610125	247732.60088284	200654.25810075	101630.921812446	419101.743033056	227029.355303445	212405.529266458	148195.405869873	400586.650071251	345471.713839799	493531.043447224	117582.345927261	32175.2974776193	145542.130298721	158105.219545409	141066.667067526
4	16612.203924265	316289.902955678	423103.831941649	248340.981533338	202845.870143113	103397.886280408	419309.116483345	227029.355303445	212486.046904543	148195.405869873	400793.671595836	345471.713839799	493737.887975072	117582.345927261	32185.4123149276	145622.942142307	158105.219545409	141130.934341816
5	16660.4251257868	320191.705921978	428248.696140129	250896.180265431	205768.019532929	105469.499794571	419101.743033056	227029.355303445	212566.564542627	148195.405869873	400793.671595836	345679.578890244	493944.732502921	117622.919545594	32215.7568268524	145622.942142307	158169.46384429	141130.934341816
6	16696.5910269282	323605.78351749	430943.625005999	253451.378997523	207594.362901565	106931.815216333	413710.033325555	226707.556075517	212566.564542627	147228.91409246	401000.693120421	345887.443940689	494151.57703077	117622.919545594	32215.7568268524	145784.565829479	158105.219545409	141130.934341816
