[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:43:07
Order : 17
Analyse step ID : 13074

[SAMPLE]
Sample Name : H6-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	15484.5628732704	342749.004320899	455197.984798832	266349.048788083	213803.930354926	114730.830799062	207287.402042085	95571.787396747	144126.572170948	75948.0926372803	307633.985532754	187198.406993824	323918.530611212	95916.0337377659	22212.1827289695	116692.302138452	134720.294752833	115166.955528477
20	15454.4138022555	342627.072978202	455442.978332093	266349.048788083	213803.930354926	114730.830799062	205317.186614972	94485.7443581476	141469.490114165	75706.4762238001	304114.619614816	180234.335217818	304475.144993425	93441.0430194902	21534.4886293152	112732.521802729	132214.767096486	113110.402751182
21	15424.2647312405	342505.141635505	455197.984798832	266227.372657984	213682.17413035	114487.111562102	204072.840029427	94083.5061957033	139376.031523972	75706.4762238001	301009.296746046	174725.442618888	287927.582765522	91290.6412478736	20957.9429027436	109419.236215696	130030.460934542	111439.453619631
22	15388.0858460226	342383.210292808	454952.991265571	266227.372657984	213682.17413035	114487.111562102	203243.275639063	94163.9538281922	137685.161124202	75948.0926372803	298318.016926446	170255.96371787	273448.465816106	89505.4020412486	20472.4307119464	106590.821690179	128360.109163644	110089.840859531
23	15363.9665892107	342383.210292808	454707.997732311	266105.696527884	213560.417905774	114365.251943622	202932.188992677	94606.4158068808	136396.878914852	76350.7866597473	296247.8016806	166721.957144971	261244.638673027	87963.6045446178	20088.066894232	104166.466382594	126946.734588268	109125.831745175
24	15339.8473323987	342383.210292808	454707.997732311	266105.696527884	213560.417905774	114243.392325142	202828.493443881	95410.8921317693	135350.149619756	76914.5582912012	294591.629483923	163915.540160611	250712.412861051	86705.8223763138	19764.3921003672	102307.793980111	125790.337208416	108354.624453689
25	15297.6386329778	342139.347607415	454707.997732311	266105.696527884	213438.661681198	114182.462515902	203035.884541472	96456.7113541242	134625.490876997	77599.1381293951	293349.500336415	161628.830025206	242031.521401724	85691.4819180041	19521.6360049687	100772.368951974	124955.161322967	107840.486259366
26	15267.4895619629	342261.278950111	454463.00419905	265984.020397784	213316.905456623	113999.673088181	203243.275639063	97743.8734739458	134061.867410407	78364.2567720824	292314.392713492	159965.768108548	234900.789131562	84839.4359330239	19309.2244214949	99641.0031417671	124376.96263304	107519.149887914
27	15249.4001193539	342017.416264718	454463.00419905	265984.020397784	213316.905456623	113999.673088181	203761.75338304	99191.9308587449	133659.279219985	79250.1836215099	291486.306615154	158822.413040845	228803.496320844	84190.2580397057	19167.6166991791	99005.1852367693	123927.252540875	107326.348065042
28	15219.251048339	341895.484922021	454463.00419905	265984.020397784	213195.149232047	113816.883660461	204487.622224608	100760.659692277	133337.208667648	80136.1104709373	290865.2420414	157886.940712725	223946.330861459	83662.8010013847	19036.1238141715	98316.8056257161	123670.275345353	107326.348065042
