[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:29:44
Order : 39
Analyse step ID : 13135

[SAMPLE]
Sample Name : T23-1-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12982.1899790308	353908.448562485	488272.11178906	273649.616594061	218552.423113378	107723.902736454	410184.684670651	229281.949898944	214257.434942398	149161.897647285	384853.01420282	341106.547780451	426306.571896365	115878.253957301	27067.304636941	143198.586834721	160225.281408472	143058.952570529
1	12982.1899790308	353908.448562485	488272.11178906	273527.940463961	218674.179337954	107723.902736454	410599.431571228	229281.949898944	214257.434942398	149161.897647285	385060.035727404	341106.547780451	426513.416424214	115918.827575633	27087.5343115576	143198.586834721	160225.281408472	143058.952570529
2	12988.2197932338	353908.448562485	488272.11178906	273527.940463961	218674.179337954	107662.972927214	410599.431571228	229362.399705926	214337.952580482	149161.897647285	385060.035727404	341314.412830896	426927.105479912	115918.827575633	27117.8788234824	143198.586834721	160225.281408472	143058.952570529
3	12994.2496074368	355615.794627225	501011.775518629	274257.997244559	222083.353626073	110648.533579977	410806.805021516	229362.399705926	214337.952580482	149161.897647285	385267.057251989	341522.277881342	426927.105479912	115959.401193966	27127.9936607907	143279.398678307	160289.525707353	143058.952570529
4	13018.3688642488	364884.244692955	520611.258179504	279855.099229142	229753.995774342	115766.637556144	411014.178471805	229362.399705926	214418.470218567	149161.897647285	385267.057251989	341730.142931787	427133.950007761	115999.974812298	27138.1084980989	143279.398678307	160289.525707353	143058.952570529
5	13048.5179352637	374884.414500716	529921.01244342	287277.343165219	234502.488532794	119605.215538268	406659.336015746	229281.949898944	214418.470218567	148598.110777128	385474.078776574	341730.142931787	427340.794535609	115999.974812298	27138.1084980989	143279.398678307	160289.525707353	143058.952570529
6	13072.6371920756	382201.61192103	535065.8766419	292509.416759503	237424.637922611	122347.056954072	385921.990986897	226546.656461553	214176.917304314	143926.733852969	385267.057251989	341938.007982232	427547.639063458	116040.548430631	27188.6826846403	143360.210521894	160289.525707353	143123.21984482
