[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:05:32
Order : 33
Analyse step ID : 13090

[SAMPLE]
Sample Name : H8-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	16093.5741077721	341285.828208536	454463.00419905	265740.668137585	213925.686579501	113573.164423501	237255.415643968	109170.38807469	152983.512360224	83881.1648798806	336409.977450017	211624.628894739	346257.739618882	99770.5274793428	24396.9875875567	121783.448284382	139088.907076721	119408.595631646
20	16075.4846651631	341163.89686584	454463.00419905	265618.992007485	214047.442804077	113573.164423501	235285.200216854	107963.640969959	150406.947941525	83518.7402596603	332890.611532079	204764.498488524	329089.643807432	97538.9784710614	23739.5231625189	118146.915323004	136776.112317016	117544.844677223
21	16033.2759657422	341163.89686584	454218.010665789	265618.992007485	213925.686579501	113512.234614261	233833.462533718	107400.492321084	148313.489351333	83518.7402596603	329992.310187894	199359.547259386	313783.148746621	95591.4447911068	23183.2071105638	115076.065266729	134913.027649476	116066.697368543
22	16015.1865231333	341041.965523143	453973.017132528	265618.992007485	213803.930354926	113451.304805021	232796.507045764	107400.492321084	146622.618951562	83639.5484664004	327715.073417463	194786.126988576	300338.25443645	93887.3528211465	22707.809757075	112328.462584798	133371.164476339	114781.351882734
23	15979.0076379153	340920.034180446	454218.010665789	265618.992007485	213803.930354926	113329.445186541	232278.029301786	107641.84174203	145253.819104128	84001.9730866207	325644.858171617	191044.237676095	288754.960876917	92467.2761795129	22343.6756139771	110146.542807971	132022.034199844	113881.610042668
24	15954.8883811034	340920.034180446	453973.017132528	265497.315877386	213803.930354926	113268.5153773	231966.9426554	108285.440197887	144207.089809032	84444.9365113345	323988.68597494	188133.879321944	278826.423540175	91290.6412478736	22030.1156574206	108368.682249075	130994.125417753	113174.670025473
25	15942.8287526974	340798.102837749	453728.023599267	265497.315877386	213560.417905774	113085.72594958	231966.9426554	109170.38807469	143321.395790105	85048.977545035	322746.556827432	185847.169186539	270552.642426223	90316.8744078964	21787.359562022	106914.069064524	130223.193831184	112596.264556859
26	15906.6498674795	340676.171495052	453728.023599267	265375.639747286	213560.417905774	113085.72594958	232070.638204196	110296.685372439	142757.772323514	85733.557383229	321711.449204509	183976.224530299	263313.083951515	89505.4020412486	21595.1776531648	105782.703254317	129644.995141258	112274.928185407
27	15882.5306106676	340554.240152355	453483.030066006	265375.639747286	213560.417905774	112963.8663311	232381.724850582	111583.882284153	142274.666495008	86458.4066236696	321090.384630755	182521.045353223	257314.5926439	88856.2241479303	21453.569930849	104812.961131283	129195.285049093	112082.126362535
28	15846.3517254496	340554.240152355	453483.030066006	265253.963617187	213438.661681198	112902.93652186	232900.202594559	112951.529002848	141952.595942671	87263.7946686036	320469.320057001	181377.69028552	252055.884158328	88288.1934912769	21322.0770458414	104085.654539007	128938.30785357	111953.591813954
