[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:36:39
Order : 60
Analyse step ID : 13156

[SAMPLE]
Sample Name : T29-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13018.3688642488	357323.140691965	493906.963054061	276204.815326153	220622.278931165	108576.920065815	407074.082916323	225420.359163803	211358.799971362	146504.045259401	382575.777432389	337601.569081587	421755.992283692	115715.959483971	27127.9936607907	141905.597337342	157013.066464437	140166.925227459
1	13024.3986784518	357323.140691965	494151.956587322	276083.139196053	220622.278931165	108698.779684295	407281.456366612	225420.359163803	211358.799971362	146504.045259401	382782.798956974	337705.510451379	421962.836811541	115756.533102304	27158.3381727155	141905.597337342	157077.310763318	140231.19250175
2	13024.3986784518	357079.234111288	494151.956587322	276083.139196053	220622.278931165	108576.920065815	407488.8298169	225500.808970786	211439.317609446	146504.045259401	382782.798956974	337913.393190961	422169.68133939	115756.533102304	27178.567847332	141905.597337342	157013.066464437	140166.925227459
3	13024.3986784518	359030.486756704	506646.62678363	276691.519846552	224031.453219284	111318.761481618	407488.8298169	225500.808970786	211519.835247531	146584.586240852	382989.820481558	338017.334560752	422169.68133939	115797.106720636	27188.6826846403	141986.409180928	157077.310763318	140166.925227459
4	13054.5477494667	368055.030241757	526001.115911245	282166.945701035	231458.582918402	116315.005839304	407696.203267189	225500.808970786	211519.835247531	146504.045259401	382989.820481558	338225.217300334	422583.370395087	115837.680338969	27198.7975219486	141986.409180928	157077.310763318	140231.19250175
5	13090.7266346846	378055.200049519	535310.870175161	289589.189637112	236328.83190143	120153.583821429	403756.107711707	225339.909356821	211600.352885615	146020.799370695	383196.842006143	338329.158670125	422790.214922936	115837.680338969	27208.9123592568	141986.409180928	157077.310763318	140231.19250175
6	13108.8160772936	385372.397469832	540455.734373641	294821.263231396	239129.225066671	122773.565618752	384885.123735454	222926.415147359	211358.799971362	141832.668335242	382989.820481558	338329.158670125	422790.214922936	115878.253957301	27208.9123592568	142067.221024515	157077.310763318	140231.19250175
