[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 16:23:02
Order : 8
Analyse step ID : 13065

[SAMPLE]
Sample Name : H3-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16805.0887303523	311900.374618591	414529.058277516	245299.078280848	198949.67095669	100595.115055365	440875.955313349	228718.801250069	216753.481723012	148920.274702932	418804.544234699	360022.267370958	514836.029815649	120544.220065526	34125.7250110283	149501.910634444	158490.685338693	141452.270713268
1	16817.1440307327	311900.374618591	414284.064744255	245299.078280848	199071.427181266	100534.185246125	441083.328763637	228638.351443087	216833.999361096	148920.274702932	419011.565759283	360230.132421403	515042.874343498	120584.793683858	34125.7250110283	149501.910634444	158490.685338693	141452.270713268
2	16829.1993311132	311900.374618591	414284.064744255	245299.078280848	198949.67095669	100534.185246125	441290.702213926	228638.351443087	216833.999361096	148920.274702932	419218.587283868	360437.997471848	515249.718871347	120584.793683858	34166.1343952924	149501.910634444	158426.441039813	141452.270713268
3	16817.1440307327	311778.443275894	414529.058277516	245299.078280848	198949.67095669	100595.115055365	441290.702213926	228718.801250069	216833.999361096	148920.274702932	419218.587283868	360437.997471848	515249.718871347	120625.36730219	34186.3390874245	149501.910634444	158490.685338693	141452.270713268
4	16829.1993311132	312875.825360166	419673.922475996	245785.782801246	201019.526774477	102118.360286367	441498.075664214	228718.801250069	216914.516999181	148920.274702932	419218.587283868	360437.997471848	515456.563399196	120665.940920523	34186.3390874245	149582.72247803	158426.441039813	141452.270713268
5	16877.420532635	316411.834298375	425063.780207736	248219.305403239	203819.919939718	104189.973800529	441498.075664214	228718.801250069	216914.516999181	148920.274702932	419632.630333037	360645.862522293	515870.252454893	120665.940920523	34186.3390874245	149582.72247803	158426.441039813	141452.270713268
6	16913.5864337764	319825.911893888	427758.709073607	250774.504135331	205646.263308354	105713.219031531	436728.486307579	228477.451829123	216995.034637265	148195.405869873	419632.630333037	360853.727572738	515870.252454893	120706.514538855	34226.7484716886	149663.534321616	158490.685338693	141452.270713268
