[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 22:09:21
Order : 3
Analyse step ID : 13099

[SAMPLE]
Sample Name : Q11-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	14320.8087320939	333726.084961331	453483.030066006	260143.566153002	208690.168922746	104738.34208369	420138.610284499	232339.042564263	216753.481723012	151336.504146462	398309.413300821	345887.443940689	462090.675214207	118028.655728918	29778.0810355584	146107.813203824	162216.854673774	144794.168976371
1	14314.778917891	333726.084961331	453483.030066006	260143.566153002	208690.168922746	104738.34208369	420345.983734787	232339.042564263	216833.999361096	151336.504146462	398723.45634999	346095.308991134	462504.364269904	118069.22934725	29778.0810355584	146107.813203824	162216.854673774	144794.168976371
2	14332.8683604999	333604.153618634	453483.030066006	260021.890022903	208690.168922746	104799.27189293	420553.357185076	232339.042564263	216833.999361096	151336.504146462	398723.45634999	346303.174041579	462711.208797753	118109.802965582	29818.5403847915	146188.62504741	162216.854673774	144858.436250662
3	14326.8385462969	335920.849129874	467937.648528401	260873.6229336	212829.88055832	108272.271019614	420968.104085653	232339.042564263	216914.516999181	151336.504146462	398930.477874574	346511.039092025	462918.053325602	118109.802965582	29838.7700594081	146188.62504741	162216.854673774	144858.436250662
4	14369.0472457178	345675.356545624	486802.150589494	267079.105568681	220257.010257438	113877.813469701	420968.104085653	232339.042564263	216914.516999181	151336.504146462	399137.499399159	346718.90414247	463124.897853451	118150.376583915	29838.7700594081	146269.436890996	162281.098972655	144922.703524952
5	14405.2261309358	355551.79530407	495866.911320149	274501.349504758	224883.746791314	118021.040498026	414124.780226132	232097.693143317	216995.034637265	150370.01236905	399137.499399159	346926.769192915	463331.7423813	118190.950202247	29858.9997340246	146269.436890996	162281.098972655	144858.436250662
6	14423.3155735447	362867.675865882	500766.781985368	279490.070838843	227562.383731979	120823.81172307	385092.497185743	227914.303180248	216592.446446843	143685.110908616	398930.477874574	346718.90414247	463745.431436997	118231.523820579	29879.2294086412	146269.436890996	162281.098972655	144858.436250662
