[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:38:49
Order : 30
Analyse step ID : 13087

[SAMPLE]
Sample Name : H7-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15954.8883811034	321289.08800625	432658.579738826	251382.884785829	203211.13881684	102423.009332567	443986.557067676	231775.893915388	218524.869760867	150370.01236905	421909.867103468	360853.727572738	493117.354391526	120097.910263869	32792.3025534241	148693.792198582	160867.724397279	143573.090764853
1	15954.8883811034	321167.156663553	432658.579738826	251261.20865573	203211.13881684	102423.009332567	444401.303968253	231856.34372237	218605.387398952	150370.01236905	422116.888628053	361061.592623183	493324.198919375	120138.483882202	32822.6470653489	148693.792198582	160803.480098399	143573.090764853
2	15966.9480095094	321167.156663553	432658.579738826	251261.20865573	203211.13881684	102483.939141807	444608.677418542	231856.34372237	218685.905037036	150370.01236905	422323.910152637	361269.457673628	493324.198919375	120179.057500534	32802.4173907323	148774.604042168	160867.724397279	143573.090764853
3	15966.9480095094	321167.156663553	433148.566805347	251382.884785829	203211.13881684	102483.939141807	444816.05086883	231856.34372237	218685.905037036	150370.01236905	422116.888628053	361269.457673628	493737.887975072	120179.057500534	32842.8767399654	148774.604042168	160867.724397279	143573.090764853
4	15979.0076379153	322874.195461309	440498.372803176	252112.941566427	206011.531982081	104738.34208369	444816.05086883	231856.34372237	218766.42267512	150370.01236905	422323.910152637	361269.457673628	493944.732502921	120219.631118867	32852.9915772737	148855.415885754	160867.724397279	143573.090764853
5	16015.1865231333	327995.311854578	447603.185267743	255398.197079117	209907.731168503	107602.043117973	444816.05086883	231856.34372237	218766.42267512	150370.01236905	422530.931677222	361685.187774519	493944.732502921	120219.631118867	32873.2212518902	148855.415885754	160867.724397279	143573.090764853
6	16069.4548509601	332506.771534362	451278.088266657	258805.128721906	212221.099435442	109612.726822896	439424.341161329	231534.544494442	218766.42267512	149564.60255454	422530.931677222	361685.187774519	494151.57703077	120260.204737199	32873.2212518902	148855.415885754	160867.724397279	143573.090764853
