[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 23:29:26
Order : 12
Analyse step ID : 13108

[SAMPLE]
Sample Name : Q14-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12946.0110938129	349762.036690974	479452.344591666	270729.38947167	216482.567295591	106322.517123932	406866.709466035	231454.09468746	214418.470218567	150853.258257756	382782.798956974	340096.161956575	435821.42017741	115188.50244565	27107.7639861741	143279.398678307	162602.320467058	145051.238073533
1	12952.0409080159	349762.036690974	479452.344591666	270729.38947167	216360.811071015	106383.446933172	407281.456366612	231454.09468746	214418.470218567	150853.258257756	382782.798956974	340304.044696157	436028.264705259	115229.076063983	27127.9936607907	143360.210521894	162538.076168178	145051.238073533
2	12958.0707222189	349762.036690974	479452.344591666	270607.71334157	216482.567295591	106322.517123932	407488.8298169	231534.544494442	214498.987856651	150933.799239207	382989.820481558	340407.986065948	436235.109233108	115269.649682315	27117.8788234824	143441.02236548	162538.076168178	145051.238073533
3	12958.0707222189	352445.009078422	498071.853119497	271702.798512467	221474.572503195	110343.884533777	407696.203267189	231534.544494442	214498.987856651	150933.799239207	383196.842006143	340511.927435739	436648.798288805	115269.649682315	27138.1084980989	143441.02236548	162602.320467058	145051.238073533
4	12976.1601648279	365128.151273632	523306.187045375	279490.070838843	231215.07046925	116680.584694745	407696.203267189	231534.544494442	214579.505494735	150933.799239207	383403.863530727	340690.817679561	436855.642816654	115350.79691898	27148.2233354072	143441.02236548	162666.564765939	145051.238073533
5	13006.3092358428	377811.293468842	535310.870175161	289224.161246813	237181.12547346	121372.18000623	401889.746659111	231293.195073496	214660.02313282	150047.848443246	383403.863530727	340898.682730006	437062.487344503	115391.370537312	27188.6826846403	143521.834209066	162666.564765939	145115.505347824
6	13000.2794216398	387567.556695926	541925.695573206	295916.348402293	240590.299761579	124540.530086714	375553.318472472	227672.953759302	214257.434942398	144007.27483442	383403.863530727	340898.682730006	437269.331872352	115391.370537312	27219.0271965651	143521.834209066	162666.564765939	145051.238073533
