[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:50:02
Order : 38
Analyse step ID : 13095

[SAMPLE]
Sample Name : Q10-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12403.3278155441	350005.943271651	481657.286391014	270486.037211471	216239.05484644	105469.499794571	405207.721863727	229925.5483548	213130.188009217	149886.766480344	377814.282366943	339472.513737828	440165.155262235	114458.177315667	26622.251795377	142552.092086032	161767.144581609	144280.030782048
1	12397.2980013411	350005.943271651	481412.292857753	270486.037211471	216360.811071015	105469.499794571	405415.095314015	229925.5483548	213130.188009217	149886.766480344	377814.282366943	339576.455107619	440371.999790084	114498.750934	26622.251795377	142552.092086032	161702.900282729	144280.030782048
2	12415.3874439501	349762.036690974	481412.292857753	270364.361081371	216360.811071015	105469.499794571	405622.468764304	230005.998161782	213210.705647302	149886.766480344	378021.303891527	339680.39647741	440578.844317932	114498.750934	26652.5963073018	142632.903929618	161702.900282729	144280.030782048
3	12421.4172581531	349762.036690974	481902.279924275	270364.361081371	216360.811071015	105469.499794571	405829.842214592	230005.998161782	213291.223285386	149886.766480344	378021.303891527	339784.337847201	440785.688845781	114539.324552332	26672.8259819183	142632.903929618	161767.144581609	144344.298056338
4	12427.447072356	352688.9156591	498071.853119497	271581.122382367	221231.060054043	109369.007585936	406037.215664881	230005.998161782	213291.223285386	149886.766480344	378228.325416112	339992.220586783	441199.377901479	114579.898170665	26672.8259819183	142632.903929618	161702.900282729	144280.030782048
5	12475.6855859799	363176.898628215	516936.35518059	278151.633407747	228901.702202312	115035.479845263	406037.215664881	230005.998161782	213371.74092347	149886.766480344	378435.346940696	340096.161956575	441199.377901479	114579.898170665	26693.0556565349	142713.715773204	161702.900282729	144344.298056338
6	12517.8942854008	373177.068435977	526246.109444506	285817.229604024	233528.438736189	118995.917445868	398779.144904784	229684.198933854	213291.223285386	148759.19274003	378642.368465281	340304.044696157	441406.222429327	114620.471788997	26713.2853311514	142794.52761679	161767.144581609	144344.298056338
