[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 01:07:20
Order : 23
Analyse step ID : 13119

[SAMPLE]
Sample Name : T18-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13006.3092358428	347079.064303526	478717.363991883	268539.219129877	214656.223926955	106322.517123932	419931.23683421	231936.793529352	216995.034637265	150692.176294854	392512.810612451	348173.959495585	437476.1764002	116892.594415611	27401.0942681141	145057.259237204	161959.877478251	144537.09987921
1	13000.2794216398	346835.157722849	478472.370458622	268539.219129877	214656.223926955	106383.446933172	420138.610284499	231936.793529352	216995.034637265	150692.176294854	392512.810612451	348381.824546031	437683.020928049	116933.168033943	27411.2091054223	145138.07108079	161959.877478251	144537.09987921
2	13006.3092358428	347079.064303526	478472.370458622	268539.219129877	214656.223926955	106383.446933172	420345.983734787	231936.793529352	216995.034637265	150692.176294854	392719.832137036	348381.824546031	438096.709983747	116973.741652275	27431.4387800389	145138.07108079	161959.877478251	144537.09987921
3	13006.3092358428	346835.157722849	478717.363991883	268417.542999777	214534.46770238	106383.446933172	420553.357185076	231936.793529352	217075.552275349	150772.717276305	392926.85366162	348589.689596476	438096.709983747	116973.741652275	27441.5536173471	145218.882924376	162024.121777132	144537.09987921
4	13024.3986784518	348786.410368266	490477.053588408	269390.952040574	218065.398215075	109003.428730495	420760.730635364	232017.243336334	217156.069913434	150692.176294854	393133.875186205	348797.554646921	438510.399039444	117014.315270608	27461.7832919637	145218.882924376	161959.877478251	144537.09987921
5	13054.5477494667	356347.514369256	503951.69791776	274014.64498436	223787.940770133	112963.8663311	420760.730635364	231936.793529352	217156.069913434	150692.176294854	393133.875186205	349005.419697366	438510.399039444	117054.88888894	27492.1278038885	145299.694767962	162024.121777132	144537.09987921
6	13102.7862630906	363664.711789569	510811.516849066	279490.070838843	227197.115058252	115888.497174624	415369.020927863	231695.444108406	217236.587551518	149886.766480344	393133.875186205	349005.419697366	438717.243567293	117095.462507273	27492.1278038885	145299.694767962	162024.121777132	144537.09987921
