[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 21:51:32
Order : 1
Analyse step ID : 13097

[SAMPLE]
Sample Name : Q11-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	17317.6263909784	298731.789607329	408159.226412731	236660.073043774	194201.178198238	98279.7823042419	576912.938702604	238855.476929812	239781.52621513	153913.815552895	524592.543297442	437348.066136544	590334.282480459	138787.545284037	45581.7854498993	169866.495218163	163565.984950269	146015.24718789
1	17323.6562051814	298853.720950026	408159.226412731	236538.396913675	194201.178198238	98279.7823042419	576912.938702604	238855.476929812	239781.52621513	153913.815552895	524799.564822027	437348.066136544	590334.282480459	138787.545284037	45561.5807577673	169866.495218163	163565.984950269	146015.24718789
2	17317.6263909784	298731.789607329	408159.226412731	236538.396913675	194201.178198238	98340.7121134819	576912.938702604	238855.476929812	239781.52621513	153913.815552895	524799.564822027	437348.066136544	590334.282480459	138787.545284037	45561.5807577673	169866.495218163	163565.984950269	146015.24718789
3	17323.6562051814	298731.789607329	408404.219945992	236538.396913675	194201.178198238	98340.7121134819	576912.938702604	238855.476929812	239781.52621513	153913.815552895	524799.564822027	437348.066136544	590541.127008308	138787.545284037	45581.7854498993	169866.495218163	163565.984950269	146015.24718789
4	17323.6562051814	301170.416461267	423103.831941649	237511.805954472	198706.158507539	101935.570858646	576912.938702604	238935.926736794	239781.52621513	153913.815552895	525006.586346612	437348.066136544	590541.127008308	138787.545284037	45561.5807577673	169866.495218163	163630.22924915	146015.24718789
5	17371.8947188053	311168.78656241	441968.334002741	244082.316979852	206620.313104959	107723.902736454	576498.191802027	238935.926736794	239781.52621513	153913.815552895	524799.564822027	437348.066136544	590334.282480459	138787.545284037	45541.3760656352	169866.495218163	163565.984950269	146015.24718789
6	17414.1034182262	321532.950691644	451278.088266657	251991.265436327	211612.318312563	111928.059574019	565300.025486448	238533.677701883	239781.52621513	152786.241812581	524799.564822027	437348.066136544	590334.282480459	138787.545284037	45561.5807577673	169947.307061749	163565.984950269	146015.24718789
