[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:20:51
Order : 38
Analyse step ID : 13134

[SAMPLE]
Sample Name : T23-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
19	12765.1166677233	396348.193600302	538005.799041031	303338.59233837	239494.493740398	127526.090739478	162594.620511251	80890.0944675329	128747.703296841	68216.3674059135	267885.852812506	149571.631129435	252764.013031227	87111.5585596377	16386.0364394038	104004.842695421	128938.30785357	110668.246328145
20	12728.9377825054	396104.287019625	537760.80550777	303216.91620827	239372.737515822	127343.301311758	161453.969474501	80447.6324888443	126815.279982817	68176.0980036668	263952.443845398	143439.090311758	236967.66805045	84717.7150780267	15748.8016889825	100125.874203284	126689.757392746	108868.762648013
21	12686.7290830845	395860.380438948	537515.811974509	303216.91620827	239129.225066671	127099.582074798	160935.491730523	80528.0801213331	125285.444859215	68337.1756126536	260847.120976629	138761.728671157	223532.955077681	82729.6077797397	15222.8301489522	97263.9897499877	124826.672725205	107454.882613623
22	12650.5501978666	395616.473858271	537025.824907987	302973.563948071	239007.468842095	126977.722456317	160728.100632933	81010.7659162661	124238.715564119	68780.1390373673	258155.841157029	134915.897988886	211958.433131911	81066.0894281118	14787.8921446965	94793.9217338556	123477.542448711	106555.140773557
23	12608.3414984457	395372.567277594	536780.831374726	302851.887817971	238885.712617519	126734.003219357	160935.491730523	81855.466057399	123433.539183275	69343.9106688211	256085.625911182	132005.539634734	202347.446159084	79686.5864048106	14443.9876762152	92809.7687372905	122449.633666619	105848.200756362
24	12590.2520558367	395128.660696917	536535.837841465	302730.211687872	238763.956392944	126551.213791637	161350.273925705	83021.9567284873	122869.915716685	70028.4905070151	254429.453714505	129822.77086912	194079.930483534	78631.6723281685	14160.7722315835	91311.5307602923	121742.946378932	105398.329836329
25	12542.0135422128	394884.754116239	536290.844308204	302608.535557772	238520.443943792	126246.564745437	161868.751669682	84349.3426645532	122547.845164348	70833.8785519491	253208.870590703	128055.767582671	187259.230051206	77739.052724856	13948.3606481097	90218.2219662667	121293.236286767	105205.528013458
26	12511.8644711979	394640.847535562	536045.850774943	302486.859427672	238398.687719217	126124.705126956	162698.316060046	85877.8476818412	122306.292250095	71719.8054013766	252173.674881011	126811.32772797	181575.313024265	77049.3012132054	13786.5232511774	89367.8706820245	121036.259091244	105141.260739167
27	12475.6855859799	394396.940954885	535800.857241683	302365.183297573	238276.931494641	125880.985889996	163631.575999205	87567.247964107	122306.292250095	72686.2710552974	251345.518313258	125927.806182325	176718.14756488	76562.4177932167	13665.1452034781	88760.4769075658	120907.770493482	105269.795287748
28	12451.566329168	394153.034374208	535555.863708422	302243.507167473	238155.175270065	125698.196462276	164564.835938364	89337.0958788615	122386.809888179	73693.006111465	250827.920458412	125356.115770436	172894.421564938	76156.6816098928	13574.1116677036	88396.0406428905	121036.259091244	105398.329836329
